Disease,NCT Number,Study Title,Study URL,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age,Phases,Locations,Principal_Investigators
Multiple System Atrophy,NCT00211224,Neuroprotection and Natural History in Parkinson's Plus Syndromes (NNIPPS),https://clinicaltrials.gov/study/NCT00211224,Multiple System Atrophy|Progressive Supranuclear Palsy,DRUG: Riluzole,survival,"functional measures (UPDRS, Parkinson's Plus Scale)|Change in MRI abnormalities|Cognitive changes",,ALL,"ADULT, OLDER_ADULT",PHASE3,"Institute of Psychiatry, King's College London, London, SE58AF, United Kingdom","Principal Investigator : Peter N Leigh, PhD FRCP , King's College London"
Multiple System Atrophy,NCT04313530,TMS Treatment in Multiple System Atrophy With Fatigue,https://clinicaltrials.gov/study/NCT04313530,Transcranial Magnetic Stimulation|Multiple System Atrophy|Fatigue,DEVICE: Repetitive Transcranial Magnetic Stimulation,"Changes in Fatigue Severity Scale-9 (FSS-9), To quantify changes of the severity of fatigue.The higher the score, the worse the fatigue., Pre-treatment, post-treatment 0, 2, 4 weeks","Changes in 17-item Hamilton Depression Scale(HAMD-17), To quantify changes of the severity of depression.The higher the score, the worse the depression., Pre-treatment, post-treatment 0, 2, 4 weeks|Changes in Hamilton Anxiety Scale(HAMA), To quantify changes of the severity of anxiety.The higher the score, the worse the anxiety., Pre-treatment, post-treatment 0, 2, 4 weeks",,ALL,"ADULT, OLDER_ADULT",NA,"The Neurology Department of Xuanwu Hospital,Capital Medical University, Beijing, Beijing, 100053, China","Study Chair : Biao Chen, MD,PHD , Xuanwu Hospital of Capital Medical University"
Multiple System Atrophy,NCT00179023,The Autonomic Nervous System and Obesity,https://clinicaltrials.gov/study/NCT00179023,OBESITY|HYPERTENSION|PURE AUTONOMIC FAILURE|SHY-DRAGER SYNDROME,DRUG: Trimethaphan|DRUG: Trimethaphan|DRUG: Pseudoephedrine,"Change in supine systolic blood pressure after achieving complete ganglionic blockade., 1-2 hour","Change in resting energy expenditure after achieving complete autonomic blockade., 1-2 hour",,ALL,"ADULT, OLDER_ADULT",PHASE1,"Vanderbilt University, Nashville, Tennessee, 37232, United States","Principal Investigator : Italo Biaggioni, MD , Vanderbilt University"
Multiple System Atrophy,NCT01607268,Magnetic Resonance Spectroscopy in Autonomic Failure,https://clinicaltrials.gov/study/NCT01607268,Pure Autonomic Failure|Multiple System Atrophy,PROCEDURE: Magnetic Resonance Spectroscopy Imaging,"N-Acetylaspartate Levels, Differences in levels of N-acetylaspartate in the dorsal medulla of pure autonomic failure versus multiple system atrophy patients using single session imaging., 0.5-1.5 hours","Myoinositol Levels, Differences in levels of myoinositol in the dorsal medulla pure autonomic failure versus multiple system atrophy patients., 0.5-1.5 hours|GABA Levels, Differences in levels of the neurotransmitter GABA in the dorsal medulla of pure autonomic failure versus multiple system atrophy patients., 0.5-1.5 hours|Creatinine Levels, Differences in levels of creatinine-containing compounds in the dorsal medulla of pure autonomic failure versus multiple system atrophy patients., 0.5-1.5 Hours|Choline Levels, Differences in levels of choline-containing compounds in the dorsal medulla of pure autonomic failure versus multiple system atrophy patients., 0.5-1.5 Hours|Glutamate Levels, Differences in levels of glutamate in the dorsal medulla of pure autonomic failure versus multiple system atrophy patients., 0.5-1.5 Hours",,ALL,"ADULT, OLDER_ADULT",,"Vanderbilt University, Nashville, Tennessee, 37211, United States","Principal Investigator : Italo Biaggioni, MD , Vanderbilt University"
Multiple System Atrophy,NCT00103597,Efficacy of Therapeutic Interventions for Orthostatic Hypotension in Parkinson's Disease and Multiple System Atrophy,https://clinicaltrials.gov/study/NCT00103597,Parkinson's Disease|Multiple System Atrophy|Orthostatic Hypotension,DRUG: Fludrocortisone|DRUG: Domperidone|BEHAVIORAL: Conservative Measures for Orthostatic Hypotension,"Efficacy of conservative treatment, domperidone, and fludrocortisone for patient's subjective symptoms of orthostatic hypotension, and on objective autonomic testing",,,ALL,"ADULT, OLDER_ADULT",PHASE1,"Royal Brisbane and Women's Hospital, Brisbane, Queensland, 4029, Australia","Principal Investigator : Kerrie Schoffer, MBBS , Movement Disorders Fellow"
Multiple System Atrophy,NCT06445465,Study to Evaluate a Potential PET Radioligand for Imaging Alpha-synuclein Deposits in the Brain,https://clinicaltrials.gov/study/NCT06445465,Alpha-Synucleinopathy|Parkinson's Disease|Dementia With Lewy Bodies|Multisystem Atrophy,DRUG: [18F]MNI-1216,"Volume of distribution (VT) of [18F]MNI-1216 across multiple brain regions, Volume of distribution (VT) across multiple brain regions will be measured and comparison between participants with Î±-synucleinopathies and healthy volunteers will be performed to visually and quantitatively assess brain uptake and pharmacokinetics of \[18F\]MNI-1216 (\[18F\]ACI-12589) as a PET imaging marker for Î±-synuclein pathology in individuals with Î±-synucleinopathies., up to 78 days|Number of participants with [18F]MNI-1216-related adverse events as assessed by CTCAE, Participants will be monitored to evaluate the safety of a single injection of \[18F\]MNI-1216 (\[18F\]ACI-12589). The following assessments will be performed to monitor participants for adverse reactions:
 
 * Clinical laboratory tests.
 * Vital signs.
 * Physical findings.
 * Electrocardiograms, up to 78 days",,"Average variability across subjects, To evaluate the reliability (test/retest) of parameters in individuals with Î±-synucleinopathies and healthy volunteers, Investigators will calculate the average and standard deviation of variability across subjects based on imaging data ((test - retest) / average (test, retest))., up to 78 days|Intraclass correlation (ICC) of test and retest scans, To evaluate the reliability (test/retest) of parameters in individuals with Î±-synucleinopathies and healthy volunteers, Investigators will calculate the intraclass correlation of test and retest scans from imaging data. Intraclass correlation is a reliability index in test/retest analyses., up to 78 days",ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,"Invicro, New Haven, Connecticut, 06510, United States","Principal Investigator : David Russell, MD , Invicro"
Multiple System Atrophy,NCT03648905,Clinical Laboratory Evaluation of Chronic Autonomic Failure,https://clinicaltrials.gov/study/NCT03648905,Parkinson's Disease|Multiple System Atrophy|Autonomic Failure,DRUG: 13N-Ammonia|DRUG: 18F-DOPA|DRUG: 11C-Methylreboxetine (11C-MRB)|DRUG: 18F-Dopamine,"Results of clinical laboratory research tests, Neurobehavioral rating scales include the University of Pennsylvania Smell Identification Test (UPSIT), Montreal Cognitive Assessment (MoCA), and Uniform Parkinson s Disease Rating Scale (UPDRS). Neurochemical data are from assays of catechols and related compounds in plasma or cerebrospinal fluid. Neuroimaging data are from 18F-DOPA, 18Fdopamine, 13Nammonia, and 11Cmethylreboxetine positron emission tomographic (PET) scanning and MRI. Immunofluorescence microscopy is used to quantify immunoreactive tyrosine hydroxylase and AS in skin biopsy samples., Initial Visit and on an approximately biennial basis",,,ALL,"ADULT, OLDER_ADULT",,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States","Principal Investigator : David S Goldstein, M.D. , National Institute of Neurological Disorders and Stroke (NINDS)"
Multiple System Atrophy,NCT05696717,Phase 3 Efficacy and Durability of Ampreloxetine for the Treatment of Symptomatic nOH in Participants With Multiple System Atrophy,https://clinicaltrials.gov/study/NCT05696717,Symptomatic Neurogenic Orthostatic Hypotension|MSA - Multiple System Atrophy,DRUG: Ampreloxetine|DRUG: Placebo,"Change in OHSA composite score at Week 8 during the double-blind RW period, Score change from baseline on the composite of Questions 1 - 6 of the Orthostatic Hypotension Symptom Assessment (OHSA)., 8-week randomized withdrawal period (Week 12 to Week 20)","Change from baseline in OHDAS item 1 (activities that require standing for a short time) at Week 8 post randomization, Orthostatic Hypotension Daily Activities Scale (OHDAS) is an assessment of how low blood pressure symptoms affect daily life., 8-week randomized withdrawal period (Week 12 to Week 20)|Change from baseline in OHDAS item 3 (activities that require walking for a short time) at Week 8 post randomization, Orthostatic Hypotension Daily Activities Scale (OHDAS) is an assessment of how low blood pressure symptoms affect daily life., 8-week randomized withdrawal period (Week 12 to Week 20)",,ALL,"ADULT, OLDER_ADULT",PHASE3,"Movement Disorders Center of Arizona, Scottsdale, Arizona, 85258, United States|The Parkinson's and Movement Disorder Institute, Fountain Valley, California, 92708, United States|UC San Diego Movement Disorder Center, La Jolla, California, 92037, United States|Science 37, Los Angeles, California, 90230, United States|Stanford Neuroscience Health Center, Palo Alto, California, 94304, United States|Medstar Georgetown University Hospital, Washington, District of Columbia, 20007, United States|Parkinson's Disease And Movement Disorders Center of Boca Raton, Boca Raton, Florida, 33486, United States|SFM Clinical Research, LLC, Boca Raton, Florida, 33487, United States|Aqualane Clinical Research, Naples, Florida, 34105, United States|Neurostudies, Inc., Port Charlotte, Florida, 33952, United States|University of South Florida Ataxia Research Center, Tampa, Florida, 33612, United States|Vero Beach Neurology and Research Institute, Vero Beach, Florida, 32960, United States|Rare Disease Research NC, LLC, Atlanta, Georgia, 30329, United States|Hawaii Pacific Neuroscience, Honolulu, Hawaii, 96817, United States|Morgan Family Medical, Meridian, Idaho, 83642, United States|Rush University Medical Center, Chicago, Illinois, 60612, United States|Northshore University Health System, Glenview, Illinois, 60026-1339, United States|University of Kansas Medical Center Research Institute, Inc., Kansas City, Kansas, 66160, United States|Massachusetts Chan Medical School, Worcester, Massachusetts, 01655, United States|Quest Research Institute, Farmington Hills, Michigan, 48334, United States|International Medical Clinic PLLC, Pontiac, Michigan, 48302, United States|NYU Langone Health NYU Dysautonomia Center, New York, New York, 10016, United States|The Neurological Institute at Columbia University Medical Center, New York, New York, 10032, United States|Rare Disease Research NC, LLC, Hillsborough, North Carolina, 27278, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, 45219, United States|Hightower Clinical Research, Ardmore, Oklahoma, 73401, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|University of Texas Southwestern Medical Center, Dallas, Texas, 75390, United States|INEBA Instituto Neurociencias Buenos Aires, Caba, C1192AAW, Argentina|Hospital General de Agudos Jose Maria Ramos MejÃ­a, Caba, C1221ADC, Argentina|Hospital BritÃ¡nico de Buenos Aires, Caba, C1280AEB, Argentina|Instituto Fleni, Caba, C1428AQK, Argentina|MÃ©dico/Hospital de la PolicÃ­a Federal Churruca Visca, Caba, C1437JCP, Argentina|FundaciÃ³n Scherbovsky, Mendoza, M5500, Argentina|Medical University of Innsbruck, Innsbruck, A-6020, Austria|Universitatsklinikum Tulln, Tulln, Austria|UZA - Antwerp University Hospital - Department of Neurology, Edegem, Belgium|Instituto de Neurologia de Curitiba S\C LTDA, Curitiba, PR, 81210-310, Brazil|Hospital de ClÃ­nicas - Universidade Federal de Minas Gerais (HC - UFMG), Belo Horizonte, 30130-100, Brazil|Centro de Pesquisa ClÃ­nica (CPC) do Hospital das ClÃ­nicas de Porto Alegre (HCPA), Porto Alegre, 90035-903, Brazil|Hospital SÃ£o Lucas - PUCRS, Porto Alegre, 90610-000, Brazil|Hospital da Bahia, Salvador, 41810-011, Brazil|University of Calgary - Health Sciences Centre, Calgary, Alberta, T2N 4Z6, Canada|CorporaciÃ³n de InvestigaciÃ³n de NeurologÃ­a de Santiago (Usa instalaciones de ClÃ­nica DÃ¡vila), Recoleta, RegiÃ³n Metropolinata, 8431657, Chile|Centro de Estudios de Trastornos del Movimiento Humano (CETRAM), Santiago, RegiÃ³n Metropolinata, 9120500, Chile|Bispebjerg Hospital, Copenhagen, 2400-NV, Denmark|Astra Cinic (Clinic4U), Tallinn, 11315, Estonia|Tartu University Hospital, Tartu, 30029, Estonia|Centre Hospitalier Universitaire de Bordeaux Health, Bordeaux, 33076, France|Praxis Dr. Oehlwein, Outpatient Clinic, Gera, Thueringen, 07551, Germany|Charite Universitaetsmedizin Berlin, Berlin, 12203, Germany|Semmelweis Egyetem, Budapest, 1085, Hungary|Department of Neurology, University of PÃ©cs, Hungary, PÃ©cs, 7623, Hungary|IRCCS Istituto de Scienze Neurologiche di Bologna (ISNB), Bologna, 40139, Italy|AOU Policlinico-San Marco, Clinica Neurologica, Catania, 95123, Italy|Fondazione UniversitÃƒ Gabriele D'Annunzio Chieti-Pescara, Chieti, 66100, Italy|Parkinson's Centre of Ospedale CTO, Milano, 20126, Italy|Fondazione IRCCS CA' Granda Ospedale, Milan, 20122, Italy|Azienda Ospedaliera Universitaria Policlinico Tor Vergata, Rome, 00133, Italy|Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Rome, 00168, Italy|AOU San Giovanni di Dio e Ruggi d'Aragona, Salerno, Salerno, 84131, Italy|Azienda Ospedaliera Santa Maria di Terni, Terni, I-05100, Italy|Santa Chiara Hospital, Trento, 38122, Italy|Pia Fond. Cardinale Giovanni Panico Azienda Ospedaliera, Tricase, 73039, Italy|Neurocentrum-Miwomed, GdaÅ„sk, 80-207, Poland|Neuro-Care Sp. z o.o. Sp. Komandytowa, Katowice, 40-749, Poland|Krakowska Akademia Neurologii Sp.zo.o., KrakÃ³w, 31-505, Poland|Instytut Zdrowia dr Boczarska-Jedynak Sp. z o.o., Sp.k., OÅ›wiÄ™cim, 32-600, Poland|CNS-Campus Neurologico Senior, Torres Vedras, 2560-280, Portugal|FundaciÃ³ Assistencial Mutua de Terrassa, Terrassa, Barcelona, 08222, Spain|Hospital Germans Trias i Pujol, Department of Neurology, Barakaldo, Bizkaia, 48903, Spain|Instituto InvestigaciÃ³n Sanitaria Biocruces, Barakaldo, Bizkaia, 48903, Spain|Hospital Universitario de La Princesa, Madrid, 28006, Spain|Hospital Universitario Infante Sofia Paseo Europa, Madrid, 28702, Spain|University Hospitals Birmingham NHS Foundation Trust, Birmingham, B15 2GW, United Kingdom|Barts Health, London, EC1M 6BQ, United Kingdom|Autonomic Unit, National Hospital for Neurology & Neurosurgery, London, WC1N 3BG, United Kingdom|Salford Royal Hospital, Salford, M6 8HD, United Kingdom",Theravance Biopharma
Multiple System Atrophy,NCT00547911,Augmenting Effects of L-DOPS With Carbidopa and Entacapone,https://clinicaltrials.gov/study/NCT00547911,Parkinson Disease|Multiple System Atrophy|Autonomic Nervous System Diseases,DRUG: Droxidopa|DRUG: Carbidopa|DRUG: Entacapone,"Plasma LDOPS Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Blood samples were obtained at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, 24 hours, and 48 hours to assess plasma droxidopa (LDOPS) concentrations., Up to 48 hours after receiving drug(s)|Plasma Norepinephrine Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Blood samples were obtained at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, 24 hours, and 48 hours to assess plasma norepinephrine concentrations., Up to 48 hours after receiving drug(s)|Plasma DHMA Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Blood samples were obtained at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, 24 hours, and 48 hours to assess plasma droxymandelic acid (DHMA) concentrations., Up to 48 hours after receiving drug(s)|Plasma DHPG Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Blood samples were obtained at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, 24 hours, and 48 hours to assess plasma dihydroxyphenylglycol (DHPG) concentrations., Up to 48 hours after receiving drug(s)","Systolic Blood Pressures After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Systolic blood pressure was assessed at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, and 24 hours., Up to 24 hours after receiving drug(s)|Diastolic Blood Pressures After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Diastolic blood pressure was assessed at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, and 24 hours., Up to 24 hours after receiving drug(s)|Heart Rate After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone, Heart rate was assessed at baseline and after drug administration at 1 hour, 2 hours, 3 hours, 6 hours, and 24 hours., Up to 24 hours after receiving drug(s)",,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","Principal Investigator : David S Goldstein, M.D. , National Institute of Neurological Disorders and Stroke (NINDS)"
Multiple System Atrophy,NCT00822913,Botulinum A Toxin in Patients With Parkinson's Disease,https://clinicaltrials.gov/study/NCT00822913,Parkinson's Disease|Multiple System Atrophy|Detrusor Overactivity,DRUG: Intravesical injection of Botulinum A toxin,"As primary outcome measures, patients attended for clinical evaluation (daily voiding diary an QoL questionnaire)., One, three and five months after intravesical treatment","Urodynamic assessment, and samples were obtained for urinalysis and culture., One, three and five months follow up",,ALL,"ADULT, OLDER_ADULT",PHASE4,,"Principal Investigator : Antonella Giannantoni, M.D. , University Of Perugia"
Multiple System Atrophy,NCT02726711,Reduction in Splanchnic Capacitance Contributes to Sympathetically Dependent Hypertension in Autonomic,https://clinicaltrials.gov/study/NCT02726711,Multiple System Atrophy|Orthostatic Hypotension|Supine Hypertension,DRUG: Trimethaphan|DRUG: Placebo,"The percentage of increase of the y intercept of the P-V relationship, To determine whether autonomic blockade with trimethaphan increases splanchnic capacitance (parallel upward shift in the P-V relationship) compared to placebo., 5 years",,,ALL,"ADULT, OLDER_ADULT",PHASE1,"Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States",
Multiple System Atrophy,NCT04706234,"Systematic Assessment of Laryngopharyngeal Function in Patients With MSA, PD, and 4repeat Tauopathies",https://clinicaltrials.gov/study/NCT04706234,Multiple System Atrophy|Parkinson Disease|Progressive Supranuclear Palsy,,"laryngeal movement disorders, occurrence of vocal fold motion impairment, paradoxical vocal fold motion, vocal fold fixation or involuntary irregular arytenoid cartilages movements when assessed with the task-protocol, 1 day|dysphagia, occurrence of dysphagic symptoms when assessed with the task-protocol, 1 day",,"laryngeal EMG findings, abnormalities recorded on laryngeal EMG showing denervation, dystonic co-activation or myoclonic discharges, 1 day",ALL,"ADULT, OLDER_ADULT",,"Department of Neurology and Department of ENT, Medical University Innsbruck, Innsbruck, Tirol, 6020, Austria|Department of Neurology, Medical University of Ulm, Ulm, Baden-WÃ¼rttemberg, 89081, Germany|Movement Disorders Hospital - Kliniken Beelitz, Beelitz-HeilstÃ¤tten, Brandenburg, 14547, Germany|Department of Neurology, Medical School Hannover, Hannover, Niedersachsen, 30625, Germany|Department of Neurology, University Hospital MÃ¼nster, MÃ¼nster, Nordrhein-Westfalen, 48149, Germany|Department of Neurology, University Hospital Carl Gustav Carus, Dresden, Sachsen, 01307, Germany|Department of Neueology Asklepios Klinik Stadtroda, Stadtroda, Thuringia, 07646, Germany|Asklepios Fachklinikum Stadtroda, Stadtroda, Thuringia, Germany|Asklepios Klinik Barmbek, Hamburg, 22291, Germany|Department of Neurology Asklepios Klinik Barmbek, Hamburg, 22307, Germany|Department of Neurology, Movement Disorders Unit, Medical Center Tel Aviv, Tel Aviv, 64239, Israel|IRCCS Istituto delle Scienze Neurologiche, Azienda USL di Bologna, Bologna, 40124, Italy|Department of Neurology, Gifu University Graduate School of Medicine, Gifu, 501-1194, Japan|Department of Neurology SNUCM, Seoul, Korea, Republic of|Department of Neurology, Medical University Warsaw, Warsaw, 02-091, Poland|Unidad de Parkinson y Trastornos del Movimiento Instituto ClÃ­nic de Neurociencias, Hospital Clinic de Barcelona, Barcelona, Catalonia, 08036, Spain","Principal Investigator : Florin Gandor, MD , Movement Disorders Hospital Beelitz-HeilstÃ¤tten, Germany"
Multiple System Atrophy,NCT01292694,Contribution of Angiotensin II to Supine Hypertension in Autonomic Failure,https://clinicaltrials.gov/study/NCT01292694,Hypertension|Pure Autonomic Failure|Multiple System Atrophy,DRUG: Losartan|DRUG: Captopril|DRUG: Placebo,"Changes in plasma renin activity and subsequent components of the circulating renin-angiotensin system, Changes in supine plasma renin activity and aldosterone following drug administration, 0 - 6 hours post administration","Changes in blood pressure, Changes in supine blood pressure following drug administration, 0 - 6 hours post administration|Changes in heart rate, cardiac output, stroke volume and systemic vascular resistance, Changes in supine systemic hemodynamics following drug administration, 0 - 6 hours post administration",,ALL,"ADULT, OLDER_ADULT",PHASE1,"Vanderbilt University, Nashville, Tennessee, 37232, United States","Principal Investigator : Italo Biaggioni, MD , Vanderbilt University"
Multiple System Atrophy,NCT01119417,The Role of Endothelin in the Supine Hypertension of Autonomic Failure,https://clinicaltrials.gov/study/NCT01119417,Hypertension|Pure Autonomic Failure|Multiple System Atrophy,DRUG: BQ123|DRUG: BQ123|DRUG: Bq123|DRUG: BQ123|DRUG: Saline,"Change in Systolic BP, Change from baseline in systolic blood pressure, 0 -4 hr post infusion","Change in cardiac output, stroke volume and systemic vascular resistance, Percent change from baseline in hemodynamic parameters, 0-4 hr post infusion",,ALL,"ADULT, OLDER_ADULT",PHASE1,"Vanderbilt University, Nashville, Tennessee, 37232, United States","Principal Investigator : Italo Biaggioni, M.D. , Vanderbilt University"
Multiple System Atrophy,NCT01044693,Nebivolol in the Supine Hypertension of Autonomic Failure,https://clinicaltrials.gov/study/NCT01044693,Hypertension|Pure Autonomic Failure|Multiple System Atrophy,DRUG: Placebo|DRUG: Nebivolol 5 mg|DRUG: metoprolol tartrate 50 mg|DRUG: Sildenafil25 mg,"Change in Systolic Blood Pressure During the Night, Maximal change from baseline in systolic blood pressure, measured from 8 pm to 8 am, after a single dose of the intervention, 8 pm - 8 am","Nocturnal Urinary Sodium Excretion, Nocturnal sodium excretion was defined as the ratio of urinary sodium to urinary creatinine., 8 pm - 8 am|Orthostatic Tolerance the Following Morning, Orthostatic tolerance was defined as the area under the curve of standing systolic blood pressure calculated by the trapezoidal rule (upright systolic blood pressure multiplied by standing time) during a 10-minute standing test, 10 min standing|Change in Heart Rate During the Night, Change from baseline (8 pm) in heart rate at the time of maximal BP-lowering effect, 8 pm - 8 am",,ALL,"ADULT, OLDER_ADULT",NA,"Vanderbilt University, Nashville, Tennessee, 37232, United States","Principal Investigator : Italo Biaggioni, MD , Vanderbilt University"
Multiple System Atrophy,NCT05139342,Evaluation of the Efficacy of a Two-week EMST on Dysphagia in Parkinsonian Patients,https://clinicaltrials.gov/study/NCT05139342,Parkinson Disease|Multiple System Atrophy|Progressive Supranuclear Palsy,DEVICE: expiratory muscle strentgh training (EMST),"dysphagia-score, improvement of dysphagia score observed on FEES after the intervention in all three groups.
 
 Three salient parameters of swallowing function are evaluated:
 
 1. premature spillage
 2. penetration-aspiration events
 3. residue
 
 The scoring of these parameters is done separately using 3 ordinal 5-point scales (0- 4, from 0 = best to 4 = worst).
 
 Dysphagia severity, assessed by FEES, is classified according to a four-point scale (0-3) developed for patients with PD and atypical parkinsonism:
 
 0 = no relevant dysphagia,
 
 1. = mild dysphagia (premature spillage and/or residues without penetration/aspiration events),
 2. = moderate dysphagia (penetration/aspiration events of one consistency), and
 3. = severe dysphagia (penetration/aspiration events of two or more consistencies)., 14 days","SDQ-PD score, improvement of SDQ-PD score after the intervention. SDQ comprises 15 items (score range 0.5 - 44.5 with higher scores indicating more severe swallowing disturbance) that are scored either 0 = symptom never appears,
 
 1. = appears seldom (â‰¤1/month),
 2. = appears often (1-7/week),
 3. = appears very often (\>7/week), item 15 was scored dichotomously: yes = 0.5, 14 days|SWAL-QoL score, improvement of SWAL_QoL score after the intervention
 
 A 44item questionnaire (range 44 - 220) with lower scores indicating more severe impairment of swallowing-associated quality of life., 14 days",,ALL,"ADULT, OLDER_ADULT",NA,"Movement Disorders Hospital - Kliniken Beelitz, Beelitz-HeilstÃ¤tten, Brandenburg, 14547, Germany|UniversitÃ¤tsklinium MÃ¼nster, MÃ¼nster, 48149, Germany|Klinikum OsnabrÃ¼ck, OsnabrÃ¼ck, 49076, Germany","Principal Investigator : Florin Gandor, MD , Movement Disorders Hospital Beelitz-HeilstÃ¤tten,"
Multiple System Atrophy,NCT03706118,Physiologic Volume and Atrophy of Brain and Spinal Cord Measured by Magnetic Resonance Imaging,https://clinicaltrials.gov/study/NCT03706118,Cognitive Change|Atrophy Brain|Atrophy; Spinal Cord|Multiple Sclerosis,OTHER: Magnetic resonance imaging,"Measure Spinal Cord Volume Change at 12 months during 3 years follow-up in Healthy Controls, Evaluation of Magnetic Resonance Imaging from each visit, Baseline, 12, 24, 36 months|Measure Spinal Cord Atrophy Change at 12 months during 3 years follow-up in Healthy Controls, Evaluation of Magnetic Resonance Imaging from each visit, Baseline, 12, 24, 36 months","Measure Whole Brain Volume and Atrophy at 12 months during 3 years follow-up in Healthy Controls, Evaluation of Magnetic Resonance Imaging from each visit, Baseline, 12, 24, 36 months|Measure Regional Brain Volumes and Atrophies at 12 months during 3 years follow-up in Healthy Controls, Evaluation of Magnetic Resonance Imaging from each visit, Baseline, 12, 24, 36 months",,ALL,ADULT,NA,"Dpt of Neurology, Charles University and General University Hospital in Prague, Prague, 12000, Czechia","Principal Investigator : Dana Horakova, MD, PhD , Dpt of Neurology, Charles University and General University Hospital in Prague"
