NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT03099304,A Study of INCB018424 Phosphate Cream in Subjects With Vitiligo,https://clinicaltrials.gov/study/NCT03099304,YES,Vitiligo,DRUG: Ruxolitinib cream|DRUG: Vehicle cream,ALL,"ADULT, OLDER_ADULT",PHASE2,"UNIVERSITY OF ALABAMA AT BIRMINGHAM (UAB), 1802 6th Ave S, Birmingham, Alabama, 35233, United States|BURKE PHARMACEUTICAL RESEARCH LLC, 3633 Central Ave, Hot Springs, Arkansas, 71913, United States|NORTHWEST AR CLINICAL TRIALS CENTER, PLLC/HULL DERMATOLOGY, PA, 500 S 52nd Street, Rogers, Arkansas, 72758, United States|THE VITILIGO & PIGMENTATION INSTITUE OF SOUTHERN CALIFORNIA, 5670 Wilshire Boulevard, Los Angeles, California, 90036, United States|DERMATOLOGY RESEARCH ASSOCIATES- LOS ANGELES, 8930 S Sepulveda Blvd, Los Angeles, California, 90045, United States|DERMATOLOGY SPECIALISTS, 3629 Vista Way, Oceanside, California, 92056, United States|CLINICAL RESEARCH CENTER OF CT, 27 Hospital Avenue, Danbury, Connecticut, 06810, United States|LEAVITT MEDICAL ASSOCIATES OF FLORIDA INC/ AMERIDERM RESEARCH, 725 W Granada Blvd, Ormond Beach, Florida, 32174, United States|EMORY UNIVERSITY, 1525 Clifton Road, Atlanta, Georgia, 30322, United States|NORTHWESTERN UNIVERSITY, 676 N Saint Clair, Chicago, Illinois, 60611, United States|DAWES FRETZIN CLINICAL RESEARCH GROUP, 8103 Clearvista Parkway, Indianapolis, Indiana, 46256, United States|DS RESEARCH, 2241 Green Valley Road, New Albany, Indiana, 47150, United States|TULANE UNIVERSITY, 1415 Tulane Avenue, New Orleans, Louisiana, 70112, United States|Tufts Medical Center, 260 Tremont Street, Boston, Massachusetts, 02111, United States|UNIVERSITY OF MASSACHUESETTS, 364 Plantation Street, Worcester, Massachusetts, 01605, United States|HAMZAVI DERMATOLOGY, 3031 W Grand Blvd, Detroit, Michigan, 48059, United States|WASHINGTON UNIVERSITY SCHOOL OF MEDICINE DERMATOLOGY, 969 N. Mason Road, Saint Louis, Missouri, 63141, United States|ACTIVMED PRACTICES & RESEARCH, INC, 110 Corporate Drive, Portsmouth, New Hampshire, 03801, United States|ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI MEDICAL CENTER- DERMATOLOGY ASSOCIATES, 5 E 98th Street, New York, New York, 11209, United States|WAKE FOREST UNIVERSITY HEALTH SCIENCES, Medical Center Boulevard, Winston-Salem, North Carolina, 27157, United States|CENTRAL SOONER RESEARCH, 900 N Porter Ave, Norman, Oklahoma, 73071, United States|RHODE ISLAND HOSPITAL, 593 Eddy Street, Providence, Rhode Island, 02903, United States|ARLINGTON RESEARCH CENTER, INC., 711 East Lamar Boulevard, Arlington, Texas, 76011, United States|MENTER DERMATOLOGY RESEARCH INSTITUTE, 3900 Junius Street, Dallas, Texas, 75246, United States|UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, DEPARTMENT OF DERMATOLOGY, 5323 Harry Hines Blvd, Dallas, Texas, 75390, United States|THE DERMATOLOGY AND LASER CENTER OF SAN ANTONIO, 7810 Louis Pasteur, San Antonio, Texas, 78229, United States"
NCT05053022,A Study to Evaluate the Efficacy of Microneedling as a Stand-alone Treatment for Vitiligo,https://clinicaltrials.gov/study/NCT05053022,NO,Vitiligo,DEVICE: Skinpen Precision System,ALL,ADULT,NA,"Crown Laboratories, Dallas, Texas, 75234, United States"
NCT04738149,"Effect of Microneedling, Bimatoprost and Excimer in Vitiligo Treatment",https://clinicaltrials.gov/study/NCT04738149,NO,Vitiligo,DRUG: Bimatoprost|DEVICE: Excimer laser|DEVICE: Microneedling with a dermaroller,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,"Medical University of South Carolina, Charleston, South Carolina, 29407, United States"
NCT03411135,Vitiligo Extent Score (VES) Score in Comparison to Vitiligo Area and Severity Index (VASI) Score,https://clinicaltrials.gov/study/NCT03411135,NO,Vitiligo,OTHER: VES and VASI scores as assessment methods for vitiligo,ALL,"ADULT, OLDER_ADULT",,
NCT02962180,Transplantation of Basal Cell Layer Suspension Using Derma-rolling System in Vitiligo,https://clinicaltrials.gov/study/NCT02962180,NO,Vitiligo,DEVICE: Dermabrasion with dermaroller,ALL,"ADULT, OLDER_ADULT",NA,"Department of Dermatology, Ibn Sina University Hospital, Rabat, 10000, Morocco"
NCT01082393,Vitiligo and the Koebner Phenomenon (Model of Vitiligo Induction and Therapy: a Clinical and Immunological Analysis),https://clinicaltrials.gov/study/NCT01082393,NO,Vitiligo,DRUG: topical tacrolimus treatment|DRUG: topical pimecrolimus treatment|DRUG: local mometasone furoate treatment|DRUG: cold cream,ALL,"ADULT, OLDER_ADULT",PHASE4,"University Hospital Ghent, Ghent, Belgium"
NCT05872477,Promoting Repigmentation After Epidermal Cell Suspension Grafting and preVENTing the Loss of Melanocytes Using Topical Ruxolitinib for Vitiligo in Resistant Areas,https://clinicaltrials.gov/study/NCT05872477,NO,Vitiligo,DRUG: Ruxolitinib Topical|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"CHU de Nice - Hôpital de l'Archet, Nice, Alpes-maritimes, 06200, France"
NCT03123016,Combined Therapy With Narrow-Band Ultraviolet B Phototherapy and Apremilast for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT03123016,NO,Vitiligo,DRUG: Apremilast|PROCEDURE: NB-UVB phototherapy,ALL,"ADULT, OLDER_ADULT",PHASE2,"Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States"
NCT03036995,Repigmentation Using Apremilast and Phototherapy In Diffuse VITILIGO,https://clinicaltrials.gov/study/NCT03036995,NO,Vitiligo,DRUG: Apremilast|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"CHU de Nice - Dermatologie - Hôpital Archet, Nice, Alpes-Maritimes, 06, France"
NCT03864315,"To Study the Efficacy of Therapeutic Pulsed Ultrasound in the Treatment of Vitiligo: a Randomized, Intra-individual, Left-right Comparison Study",https://clinicaltrials.gov/study/NCT03864315,NO,Vitiligo,DEVICE: HGM,ALL,"ADULT, OLDER_ADULT",NA,"National Taiwan University Hospital, Taipei, 10002, Taiwan"
NCT05008887,Fractional CO2 Laser-assisted Cutaneous Delivery of Methotrexate Versus 5-fluorouracil in Stable Non-segmental Vitiligo,https://clinicaltrials.gov/study/NCT05008887,NO,Vitiligo,DRUG: Methotrexate|DRUG: 5-fluorouracil|DEVICE: Fractional CO2 laser,ALL,"ADULT, OLDER_ADULT",PHASE4,
NCT01051687,Botulinum Toxin Treatment for Localized Vitiligo,https://clinicaltrials.gov/study/NCT01051687,NO,Vitiligo,DRUG: Botulinum toxin A,ALL,ADULT,PHASE4,"King Khalid University Hospital, Riyadh, 11524, Saudi Arabia"
NCT06109649,A Study to Compare the Efficacy and Safety of SCENESSE and Narrow-Band Ultraviolet (NB-UVB) Light Versus NB-UVB Light Alone in Patients With Vitiligo,https://clinicaltrials.gov/study/NCT06109649,NO,Vitiligo,DRUG: Afamelanotide and NB-UVB Light|PROCEDURE: NB-UVB Light,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"CLINUVEL site, Los Angeles, California, 00000, United States|CLINUVEL site, Miami, Florida, 00000, United States|CLINUVEL site, Miramar, Florida, 00000, United States|CLINUVEL site, Baton Rouge, Louisiana, 00000, United States|CLINUVEL site, Detroit, Michigan, 00000, United States|CLINUVEL site, Roseville, Minnesota, 00000, United States|CLINUVEL Site, Lee's Summit, Missouri, 00000, United States|CLINUVEL Site, Charleston, South Carolina, 00000, United States|CLINUVEL site, Thompson's Station, Tennessee, 00000, United States|CLINUVEL Site, Cedar Park, Texas, 00000, United States|CLINUVEL site, Tyler, Texas, 00000, United States|CLINUVEL site, Charlottesville, Virginia, 00000, United States|CLINUVEL site, Manchester, United Kingdom"
NCT01787708,Efficacy of Red Light in Vitiligo,https://clinicaltrials.gov/study/NCT01787708,NO,Vitiligo,PROCEDURE: Red light,ALL,"ADULT, OLDER_ADULT",PHASE2,"The Skin Care Center, Vancouver General Hospital, Vancouver, British Columbia, V5Z 4E8, Canada"
NCT03755830,Prostaglandin F2-alpha (PGF2α) in Vitiligo,https://clinicaltrials.gov/study/NCT03755830,NO,Vitiligo,OTHER: Skin biopsy,ALL,"ADULT, OLDER_ADULT",NA,
NCT03859518,Study of the Role of Innate Lymphoid Cells and Natural Killer Cells in Immune Activation of Vitiligo - INNATE Vitiligo,https://clinicaltrials.gov/study/NCT03859518,NO,Vitiligo,OTHER: blood and skin samples,ALL,"ADULT, OLDER_ADULT",,"CH de Frejus, Fréjus, France"
NCT01478945,HI-Light Pilot Trial for Vitiligo: Hand Held NB-UVB for Early or Focal Vitiligo at Home,https://clinicaltrials.gov/study/NCT01478945,NO,Vitiligo,DEVICE: 311 nm NB-UVB light,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Queens Medical Centre,Nottingham University Hospitals NHS Trust, Nottingham, East Midlands, NG7 2UH, United Kingdom|Leicester Royal Infirmary, Leicester, Leicestershire, LE1 5WW, United Kingdom"
NCT02625012,Repigmentation Patterns Induced by NB-UVB and Their Relationship With Melanocytic Migration in Vitiligo,https://clinicaltrials.gov/study/NCT02625012,NO,Vitiligo,,ALL,"ADULT, OLDER_ADULT",,
NCT02466997,Efficacy of Tacrolimus in Adults With Facial Non-segmental Vitiligo - VITAC,https://clinicaltrials.gov/study/NCT02466997,NO,Vitiligo,DRUG: tacrolimus|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,"University Hospital of Bordeaux - St André Hospital, Bordeaux, 33000, France|Regional Hospital Center of Le Mans -, Le Mans, 72000, France|University Hospital Center of Nice - Hôpital de l'Archet, Nice, 06000, France|University Hospital Center of Rennes - Hôpital Pontchaillou, Rennes, 35000, France"
NCT03832751,Human Beta-defensin 1 in Vitiligo,https://clinicaltrials.gov/study/NCT03832751,NO,Vitiligo,OTHER: skin biopsy before and after NB-UVB phototherapy,ALL,"ADULT, OLDER_ADULT",NA,
NCT05210582,A Study to Assess the Changes in Pigmentation and Safety of Afamelanotide in Patients With Vitiligo on the Face,https://clinicaltrials.gov/study/NCT05210582,NO,Vitiligo,DRUG: Afamelanotide,ALL,"ADULT, OLDER_ADULT",PHASE2,"CLINUVEL Investigational site, Detroit, Michigan, 48202, United States"
NCT04774809,Assess the Efficacy and Safety of SHR0302 Ointment in Adult Patients With Vitiligo,https://clinicaltrials.gov/study/NCT04774809,NO,Vitiligo,DRUG: Low Dose SHR0302 Ointment BID|DRUG: High Dose SHR0302 Ointment BID|OTHER: Placebo Comparator: Vehicle,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"The First Affiliated Hospital of Fujian Medical University, Fuzhou, Fujian, China|Dermatology Hospital of Southern Medical University, Guangzhou, Guangdong, China|Wuhan No.1 Hospital, Wuhan, Hubei, China|The First Affiliated Hospital of Dalian Medical University, Dalian, Liaoning, China|Xijing Hospital, Air Force Medical University, Xi'an, Shaanxi, China|Shanghai Skin Disease Hospital, Shanghai, Shanghai, 200071, China|West China School of Medicine, Chengdu, Sichuan, China|Tianjin Academy of Traditional Chinese Medicine Affiliated Hospital, Tianjin, Tianjin, 300120, China|Hangzhou Third Hospital, Hangzhou, Zhejiang, China|Zhejiang University School of Medicine, Hangzhou, Zhejiang, China|Ningbo No.2 Hospital, Ningbo, Zhejiang, China|The First Hospital of Jillin University, Changchun, 130021, China|Sun. Yai- Sen Memorial Hospital, Sun. Yai- Sen University, Guangzhou, 51000, China|Zhejiang Provincial People's Hospital, Hangzhou, 310014, China|Jiangsu Province Hospital, Nanjing, 210006, China|Huashan Hospital Affiliated To Fudan University, Shanghai, China"
NCT01517893,Clinical Trial of Simvastatin to Treat Generalized Vitiligo,https://clinicaltrials.gov/study/NCT01517893,YES,Vitiligo,DRUG: Simvastatin|DRUG: Placebo,MALE,ADULT,PHASE2,"University of Massachusetts Medical School Clinical Research Center, Worcester, Massachusetts, 01655, United States"
NCT03608917,Efficacy and Safety of Total Glucosides of Paeony Combined With NB-UVB on Treating Vitiligo,https://clinicaltrials.gov/study/NCT03608917,NO,Vitiligo,DRUG: Total Glucosides of Paeony(TGP)|DEVICE: Narrow band-ultraviolet b（NB-UVB）|DRUG: Total Glucosides of Paeony(TGP) analogue,ALL,"ADULT, OLDER_ADULT",NA,"Xijing Hospital, Xi'an, Shaanxi, 710032, China"
NCT03367273,Thymic Stromal Lymphopoietin (TSLP) in Vitiligo,https://clinicaltrials.gov/study/NCT03367273,NO,Vitiligo,OTHER: skin biopsy,ALL,"ADULT, OLDER_ADULT",NA,
NCT03497208,Comparative Study of Surgical Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT03497208,NO,Vitiligo,PROCEDURE: Microneedling|PROCEDURE: Cell suspension|RADIATION: Phototherapy,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"HCPA, Porto Alegre, RS, 90035903, Brazil"
NCT04811131,Safety and Efficacy of ARQ-252 Cream 0.3% in Subjects With Non-Segmental Facial Vitiligo,https://clinicaltrials.gov/study/NCT04811131,NO,Vitiligo,DRUG: ARQ-252 cream 0.3%|DRUG: ARQ-252 Vehicle cream|DEVICE: NB-UVB phototherapy active treatment|DEVICE: NB-UVB phototherapy sham treatment,ALL,"ADULT, OLDER_ADULT",PHASE2,"Arcutis Site 123, San Diego, California, 92123, United States|Arcutis Site 167, Coral Gables, Florida, 33134, United States|Arcutis Clinical Site 102, Rolling Meadows, Illinois, 60008, United States|Arcutis Site 162, Austin, Texas, 78759, United States|Arcutis Clinical Site 163, Pflugerville, Texas, 78660, United States"
NCT03973073,Effects of Combination Therapy With Camouflage in the Repigmentation of Vitiligo,https://clinicaltrials.gov/study/NCT03973073,NO,Vitiligo,COMBINATION_PRODUCT: CapulinTM|OTHER: topical applications and NB-UVB,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,"Peking university people's hospital, Beijing, Beijing, 100044, China"
NCT01259986,Treatment of Vitiligo With Low-energy Visible Light Laser,https://clinicaltrials.gov/study/NCT01259986,NO,Vitiligo,PROCEDURE: Laser treatment,ALL,"ADULT, OLDER_ADULT",NA,
NCT04530344,Assess the Long Term Efficacy and Safety of Ruxolitinib Cream in Participants With Vitiligo,https://clinicaltrials.gov/study/NCT04530344,YES,Vitiligo,DRUG: ruxolitinib|DRUG: Vehicle,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Cahaba Dermatology, Hoover, Alabama, 35244, United States|Desert Sky Dermatology, Gilbert, Arizona, 85295, United States|First Oc Dermatology, Fountain Valley, California, 92708, United States|Center For Dermatology Cosmetic and Laser Surgery, Fremont, California, 94538, United States|Marvel Clinical Research Llc, Huntington Beach, California, 92647, United States|Vitiligo & Pigmentation Institute of Southern California, Los Angeles, California, 90036, United States|Dermatology Research Associates, Los Angeles, California, 90045, United States|Acrc Studies, San Diego, California, 92119, United States|University of California San Francisco, San Francisco, California, 94158, United States|Colorado Medical Research Center Inc, Denver, Colorado, 80210, United States|Harmony Medical Research Institute, Hialeah, Florida, 33016, United States|San Marcus Research Clinic Inc., Miami Lakes, Florida, 33014, United States|Advanced Pharma, Miami, Florida, 33147, United States|Leavitt Medical Associates of Florida, Ormond Beach, Florida, 32174, United States|Avita Clinical Research, Tampa, Florida, 33613, United States|Olympian Clinical Research, Tampa, Florida, 33614, United States|Forcare Clinical Research Fcr Forward Clinical Trials, Inc, Tampa, Florida, 33624, United States|Metabolic Research Institute Inc, West Palm Beach, Florida, 33401, United States|Northwestern University, Chicago, Illinois, 60611, United States|Randall Dermatology, West Lafayette, Indiana, 47906, United States|Delricht Clinical Research - Clinedge - Ppds Baton Rouge, Baton Rouge, Louisiana, 70809, United States|Tufts Medical Center, Boston, Massachusetts, 02116, United States|Metro Boston Clinical Partners, Brighton, Massachusetts, 02135, United States|Great Lakes Research Group Inc, Bay City, Michigan, 48706, United States|Henry Ford Medical Center, Detroit, Michigan, 48202, United States|Minnesota Clinical Study Center, Minneapolis, Minnesota, 55432, United States|Jdr Dermatology Research, Las Vegas, Nevada, 89148, United States|Suny Downstate Medical Center, Brooklyn, New York, 11203, United States|Forest Hills Dermatology Group, Kew Gardens, New York, 11415, United States|The Dermatology Specialists Greenwich, New York, New York, 10012, United States|Icahn School of Medicine At Mount Sinai, New York, New York, 10029, United States|Derm Research Center of New York Inc, Stony Brook, New York, 11790, United States|Wake Research Associates Llc, Raleigh, North Carolina, 27612, United States|Wake Forest University, Winston-Salem, North Carolina, 27104, United States|Central Sooner Research, Norman, Oklahoma, 73071, United States|Kgl Skin Study Center, Broomall, Pennsylvania, 19008, United States|Dermatology Associates of Plymouth Meeting, Plymouth Meeting, Pennsylvania, 19462, United States|Palmetto Clinical Trial Services, Anderson, South Carolina, 29621, United States|International Clinical Research Tennessee Llc, Murfreesboro, Tennessee, 37130, United States|Innovative Dermatology, Plano, Texas, 75024, United States|Progressive Clinical Research, San Antonio, Texas, 78213, United States|The Dermatology and Laser Center of San Antonio, San Antonio, Texas, 78229, United States|Clinical Research Partners Llc, Richmond, Virginia, 23226, United States|Dermatology Specialists of Spokane, Spokane, Washington, 99202, United States|Medical Center Unimed Eood, Sevlievo, 05400, Bulgaria|Diagnostic Consultative Center Ii Sofia Eood, Sofia, 01000, Bulgaria|University Multiprofile Hospital For Active Treatment Aleksandrovska, Sofia, 01431, Bulgaria|Diagnostic Consultative Center Xxviii - Sofia - Eood, Sofia, 01592, Bulgaria|Medical Center Eurohealth, Sofia, 01606, Bulgaria|Dermatology Research Institute, Calgary, Alberta, T1Y 0B4, Canada|Simcoderm Medical and Surgical Dermatology Center, Barrie, Ontario, L4M 7G1, Canada|Kingsway Clinical Research, Etobicoke, Ontario, M8X 1Y9, Canada|Lynderm Research Inc, Markham, Ontario, L3P 1X2, Canada|Skin Centre For Dermatology, Peterborough, Ontario, K9J 5K2, Canada|K. Papp Clinical Research, Waterloo, Ontario, N2J 1C4, Canada|Xlr8 Medical Research, Windsor, Ontario, N8W 1E6, Canada|Siena Medical Research Corporation, Westmount, Quebec, H3Z 2S6, Canada|Le Bateau Blanc, Martigues, 13500, France|Hopital Archet 2 Derm Dept, Nice, 06200, France|Centre Hospitalier Universitaire de Bordeaux - Hospital Haut-Leveque, Pessac, 33604, France|Hopital Charles Nicolle Chu Rouen Hospital de Bois-Guillaume, Rouen, 76031, France|Chu de Toulouse Hopital Larrey Centre de Reference Des Maladies Rares de La Peau Service de Dermatol, Toulouse, 31059, France|Universitaetsklinikum Carl Gustav Carus, Dresden, 01307, Germany|Hautarztpraxis Mahlow, Mahlow, 15831, Germany|Universitatsmedizin Der Johannes Gutenberg-Universitat Mainz Iii, Mainz, 55131, Germany|Universitatsklinik Munster Dermatologie, Muenster, 48149, Germany|Amsterdam University Medical Centre, Amsterdam, 1100 DD, Netherlands|Synexus - Polska Sp Z Oo Oddzial W Gdansk, Gdansk, 80-382, Poland|Synexus Polska Sp. Z O.O. Oddzial W Gdyni, Gdynia, 81-537, Poland|Synexus - Sp Z Oo Oddzial W Katowice, Katowice, 40-040, Poland|Synexus Affiliate - Krakowskie Centrum Medyczne, Krakow, 31-501, Poland|Synexus Polska Sp Z Oo Oddzial W Lodzi, Lodz, 90-127, Poland|Synexus Polska Sp Z Oo Oddzial W Czestochowie, Lublin, 20-081, Poland|Dermedic Dr. Zdybski, OSTROWIEC Swietokrzyski, 27-400, Poland|Synexus Polska Sp. Z O.O. Oddzial W Poznaniu, Poznan, 60-702, Poland|Lubeskie Centrum Diagnostyczne, Swidnik, 21-040, Poland|Poradnia Dermatologiczno-Wenerologiczna Mediderm S.C. Nzoz, Torun, 87-100, Poland|Synexus Polska Sp. Z O.O. Oddzial Warszawie, Warsaw, 01-192, Poland|High-Med Przychodnia Specjalistycza, Warsaw, 01-817, Poland|Synexus Polska Sp. Z O.O. Oddzial We Wroclawiu, Wroclaw, 50-381, Poland|Dermmedica Sp. Z O.O., Wroclaw, 51-318, Poland|Ico Hospital Germans Trias I Pujol, Badalona, 08916, Spain|Dermomedic, Madrid, 28001, Spain|Clinica Universidad de Navarra (Cun), Pamplona, 31008, Spain"
NCT03762551,Janus Kinase 1 in Vitiligo & Psoriasis,https://clinicaltrials.gov/study/NCT03762551,NO,Vitiligo,OTHER: skin biopsy,ALL,"CHILD, ADULT, OLDER_ADULT",NA,
NCT02432534,Atorvastatin in Active Vitiligo,https://clinicaltrials.gov/study/NCT02432534,NO,Vitiligo,DRUG: Atorvastatin|OTHER: UVB,ALL,"ADULT, OLDER_ADULT",PHASE2,"CHU de Nice, Nice, Alpes-Maritimes, 06001, France|National Skin center - 1 Mandalay Rd, Bedok, Singapore, 308205, Indonesia"
NCT04547998,Clinical Study to Investigate the Safety and Effectiveness of RECELL for Repigmentation of Stable Vitiligo Lesions,https://clinicaltrials.gov/study/NCT04547998,YES,Vitiligo,DEVICE: Control Intervention (UVB)|DEVICE: Investigational Interventions (Ablative Laser Resurfacing + RECELL + UVB),ALL,"ADULT, OLDER_ADULT",NA,"University of California, Irvine, Irvine, California, 92697, United States|University of California, Davis, Sacramento, California, 95817, United States|West Dermatology, San Diego, California, 92121, United States|DMR Research, Westport, Connecticut, 06880, United States|Skin Care Research, LLC, Hollywood, Florida, 33021, United States|Miami Dermatology and Laser Institute, Miami, Florida, 33173, United States|University of Massachusetts, Worcester, Massachusetts, 01581, United States|Henry Ford Health System, Detroit, Michigan, 48202, United States|Dermatology, Laser & Vein Specialists of the Carolinas, Charlotte, North Carolina, 28207, United States|Medical University of South Carolina, Charleston, South Carolina, 29425, United States|University of Texas at Austin Dell Medical School, Austin, Texas, 78712, United States|Heights Dermatology, Houston, Texas, 77008, United States"
NCT03133871,Evaluation of Scanoskin for the Assessment of Vitiligo,https://clinicaltrials.gov/study/NCT03133871,NO,Vitiligo,,ALL,"ADULT, OLDER_ADULT",,"Chelsea and Westminster Hospital, London, SW10 9NH, United Kingdom"
NCT02510651,Effect of Procedural Variables on Outcome of Surgical Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT02510651,NO,Vitiligo,PROCEDURE: Melanocyte-keratinocyte suspension,ALL,"ADULT, OLDER_ADULT",PHASE1,
NCT01732965,NB-UVB and PUVA Vitiligo Study,https://clinicaltrials.gov/study/NCT01732965,NO,Vitiligo,OTHER: Phototherapy|OTHER: Phototherapy and Photochemotherapy,ALL,"ADULT, OLDER_ADULT",PHASE4,"Henry Ford Dermatology, Detroit, Michigan, 48202, United States"
NCT02797574,Stress Response Pathways in Vitiligo,https://clinicaltrials.gov/study/NCT02797574,NO,Vitiligo,PROCEDURE: Punch Biopsy at a Lesional Site|PROCEDURE: Punch Biopsy at a Non- Lesional site,ALL,ADULT,NA,"New York University School of Medicine, New York, New York, 10016, United States"
NCT00830713,Vitiligo Skin Transplantation,https://clinicaltrials.gov/study/NCT00830713,NO,Vitiligo,PROCEDURE: Melanocyte-keratinocyte transplantation procedure (MKTP),ALL,"ADULT, OLDER_ADULT",PHASE3,"Henry Ford Medical Center, New Center One, Detroit, Michigan, 48202, United States"
NCT02290717,Fractional Laser in Combination With UVB Therapy in Vitiligo Patients,https://clinicaltrials.gov/study/NCT02290717,NO,Vitiligo,DEVICE: Fractional CO2 laser|OTHER: NB-UVB therapy|DRUG: Fluticasone Propionate Cream 0.05%,ALL,"ADULT, OLDER_ADULT",NA,"Academic Medical Centre, Amsterdam, Netherlands"
NCT04103060,"Safety and Tolerability Study of Cerdulatinib Gel, 0.37% in Adults With Vitiligo",https://clinicaltrials.gov/study/NCT04103060,NO,Vitiligo,DRUG: Cerdulatinib 0.37% gel|DRUG: Vehicle gel,ALL,"ADULT, OLDER_ADULT",PHASE2,"Dermavant Investigational Site, Irvine, California, 92617, United States|Dermavant Investigational Site, Worcester, Massachusetts, 01605, United States"
NCT01766609,Efficacy and Safety of Intralesional Corticosterois in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01766609,NO,Vitiligo,DRUG: Triamcinolone Acetonide,ALL,"ADULT, OLDER_ADULT",PHASE2,"The Skin Care Center, Vancouver General Hospital, Vancouver, British Columbia, V5Z 4E8, Canada"
NCT04171427,Evaluation of the Efficacy and the Cutaneous Acceptability of a Dermocosmetic Product in the Repigmentation of Vitiligo,https://clinicaltrials.gov/study/NCT04171427,NO,Vitiligo,OTHER: Lithium liposome|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",NA,"Hbib thamer Hospital, Tunis, Tunisia"
NCT03941808,Gastroprotected Superoxide Dismutase in Combination With UVB vs Placebo and UVB for Treating Vitiligo.,https://clinicaltrials.gov/study/NCT03941808,NO,Vitiligo,DRUG: Glisodin tablet|DRUG: Placebo tablet,ALL,"ADULT, OLDER_ADULT",NA,"Passeron, Nice, Alpes-Maritime, 06001, France"
NCT03717025,Comparison of Surgical Methods on Resistant Sites in Stable Vitiligo Patients,https://clinicaltrials.gov/study/NCT03717025,NO,Vitiligo,PROCEDURE: SUCTION BLISTER EPIDERMAL GRAFTING|PROCEDURE: MINI PUNCH GRAFTING|PROCEDURE: NON CULTURED EPIDERMAL CELL SUSPENSION,ALL,"ADULT, OLDER_ADULT",NA,"Post Graduate Institute of Medical Education and Research, Chandigarh, 160012, India"
NCT04525157,Afamelanotide and Narrow-Band Ultraviolet B (NB-UVB) Phototherapy in the Treatment of Nonsegmental Vitiligo (NSV),https://clinicaltrials.gov/study/NCT04525157,YES,Vitiligo,DRUG: Afamelanotide|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,
NCT04320160,Evaluation of Human Melanocytes After the Use of PRP Versus Fractional CO2 Laser in Vitiligo,https://clinicaltrials.gov/study/NCT04320160,NO,Vitiligo,PROCEDURE: Platelet rich plasma|PROCEDURE: Fractional CO2 laser,ALL,ADULT,NA,
NCT00696358,Excimer Lamp Versus Excimer Laser in Vitiligo Treatment,https://clinicaltrials.gov/study/NCT00696358,NO,Vitiligo,RADIATION: 308nm excimer lamp|RADIATION: 308nm excimer laser,ALL,"ADULT, OLDER_ADULT",PHASE3,"Department of Dermatology, University Hospital of Nice, Nice, 06200, France"
NCT02809976,Topical Ruxolitinib for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT02809976,YES,Vitiligo,DRUG: Ruxolitinib 1.5% Phosphate Cream,ALL,"ADULT, OLDER_ADULT",PHASE2,"Tufts Medical Center, Boston, Massachusetts, 02111, United States"
NCT01923142,Efficacy of Autologous Outer-Root-Sheath Melanocytes Transplantation in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01923142,NO,Vitiligo,BIOLOGICAL: Outer-Root-Sheath Melanocytes Suspension|BIOLOGICAL: Placebo,ALL,ADULT,PHASE2,"Papa Giovanni XXIII Hospital, Bergamo, 24127, Italy|Spedali Civili, Brescia, 25123, Italy"
NCT03468855,A Study of ATI-50002 Topical Solution for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT03468855,YES,Vitiligo,DRUG: ATI-50002 topical solution,ALL,"ADULT, OLDER_ADULT",PHASE2,"Aclaris Investigator Site, Encinitas, California, 92024, United States|Aclaris Investigator Site, Los Angeles, California, 90036, United States|Aclaris Investigator Site, Worcester, Massachusetts, 01655, United States|Aclaris Investigator Site, Dallas, Texas, 75390, United States|Aclaris Investigator Site, Lynchburg, Virginia, 24501, United States"
NCT03155698,Treatment of Acral Vitiligo : Narrowband Ultraviolet-B and Microneedling With and Without Platelet Rich Plasma,https://clinicaltrials.gov/study/NCT03155698,NO,Vitiligo,COMBINATION_PRODUCT: microneedling and Platelet rich plasma|RADIATION: NB-UVB phototherapy,ALL,ADULT,NA,"Assiut university, Assiut, Egypt"
