Disease,NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
Vitiligo,NCT02510651,Effect of Procedural Variables on Outcome of Surgical Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT02510651,NO,Vitiligo,PROCEDURE: Melanocyte-keratinocyte suspension,ALL,"ADULT, OLDER_ADULT",PHASE1,,Cairo University
Vitiligo,NCT01732965,NB-UVB and PUVA Vitiligo Study,https://clinicaltrials.gov/study/NCT01732965,NO,Vitiligo,OTHER: Phototherapy|OTHER: Phototherapy and Photochemotherapy,ALL,"ADULT, OLDER_ADULT",PHASE4,"Henry Ford Dermatology, Detroit, Michigan, 48202, United States","Principal Investigator : Iltefat Hamzavi, MD , Henry Ford Dermatology"
Vitiligo,NCT02797574,Stress Response Pathways in Vitiligo,https://clinicaltrials.gov/study/NCT02797574,NO,Vitiligo,PROCEDURE: Punch Biopsy at a Lesional Site|PROCEDURE: Punch Biopsy at a Non- Lesional site,ALL,ADULT,,"New York University School of Medicine, New York, New York, 10016, United States","Principal Investigator : Prashiela Manga, MD , New York University Medical School"
Vitiligo,NCT00830713,Vitiligo Skin Transplantation,https://clinicaltrials.gov/study/NCT00830713,NO,Vitiligo,PROCEDURE: Melanocyte-keratinocyte transplantation procedure (MKTP),ALL,"ADULT, OLDER_ADULT",PHASE3,"Henry Ford Medical Center, New Center One, Detroit, Michigan, 48202, United States","Principal Investigator : Iltefat H Hamzavi, MD , Henry Ford Health Systems Dermatology Department"
Vitiligo,NCT02290717,Fractional Laser in Combination With UVB Therapy in Vitiligo Patients,https://clinicaltrials.gov/study/NCT02290717,NO,Vitiligo,DEVICE: Fractional CO2 laser|OTHER: NB-UVB therapy|DRUG: Fluticasone Propionate Cream 0.05%,ALL,"ADULT, OLDER_ADULT",,"Academic Medical Centre, Amsterdam, Netherlands",Netherlands Institute for Pigment Disorders
Vitiligo,NCT04103060,"Safety and Tolerability Study of Cerdulatinib Gel, 0.37% in Adults With Vitiligo",https://clinicaltrials.gov/study/NCT04103060,NO,Vitiligo,DRUG: Cerdulatinib 0.37% gel|DRUG: Vehicle gel,ALL,"ADULT, OLDER_ADULT",PHASE2,"Dermavant Investigational Site, Irvine, California, 92617, United States|Dermavant Investigational Site, Worcester, Massachusetts, 01605, United States","Study Director : Michael McLaughlin , Dermavant Sciences GmbH"
Vitiligo,NCT01766609,Efficacy and Safety of Intralesional Corticosterois in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01766609,NO,Vitiligo,DRUG: Triamcinolone Acetonide,ALL,"ADULT, OLDER_ADULT",PHASE2,"The Skin Care Center, Vancouver General Hospital, Vancouver, British Columbia, V5Z 4E8, Canada",
Vitiligo,NCT04171427,Evaluation of the Efficacy and the Cutaneous Acceptability of a Dermocosmetic Product in the Repigmentation of Vitiligo,https://clinicaltrials.gov/study/NCT04171427,NO,Vitiligo,OTHER: Lithium liposome|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",,"Hbib thamer Hospital, Tunis, Tunisia",
Vitiligo,NCT03941808,Gastroprotected Superoxide Dismutase in Combination With UVB vs Placebo and UVB for Treating Vitiligo.,https://clinicaltrials.gov/study/NCT03941808,NO,Vitiligo,DRUG: Glisodin tablet|DRUG: Placebo tablet,ALL,"ADULT, OLDER_ADULT",,"Passeron, Nice, Alpes-Maritime, 06001, France","Principal Investigator : Passeron Thierry, PhD , Centre Hospitalier Universitaire de Nice"
Vitiligo,NCT03717025,Comparison of Surgical Methods on Resistant Sites in Stable Vitiligo Patients,https://clinicaltrials.gov/study/NCT03717025,NO,Vitiligo,PROCEDURE: SUCTION BLISTER EPIDERMAL GRAFTING|PROCEDURE: MINI PUNCH GRAFTING|PROCEDURE: NON CULTURED EPIDERMAL CELL SUSPENSION,ALL,"ADULT, OLDER_ADULT",,"Post Graduate Institute of Medical Education and Research, Chandigarh, 160012, India",
Vitiligo,NCT04525157,Afamelanotide and Narrow-Band Ultraviolet B (NB-UVB) Phototherapy in the Treatment of Nonsegmental Vitiligo (NSV),https://clinicaltrials.gov/study/NCT04525157,YES,Vitiligo,DRUG: Afamelanotide|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,,Clinuvel Pharmaceuticals Limited
Vitiligo,NCT04320160,Evaluation of Human Melanocytes After the Use of PRP Versus Fractional CO2 Laser in Vitiligo,https://clinicaltrials.gov/study/NCT04320160,NO,Vitiligo,PROCEDURE: Platelet rich plasma|PROCEDURE: Fractional CO2 laser,ALL,ADULT,,,"Principal Investigator : Amal T. ELghait, Professor , Assiut University"
Vitiligo,NCT00696358,Excimer Lamp Versus Excimer Laser in Vitiligo Treatment,https://clinicaltrials.gov/study/NCT00696358,NO,Vitiligo,RADIATION: 308nm excimer lamp|RADIATION: 308nm excimer laser,ALL,"ADULT, OLDER_ADULT",PHASE3,"Department of Dermatology, University Hospital of Nice, Nice, 06200, France",Centre Hospitalier Universitaire de Nice
Vitiligo,NCT02809976,Topical Ruxolitinib for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT02809976,YES,Vitiligo,DRUG: Ruxolitinib 1.5% Phosphate Cream,ALL,"ADULT, OLDER_ADULT",PHASE2,"Tufts Medical Center, Boston, Massachusetts, 02111, United States",
Vitiligo,NCT01923142,Efficacy of Autologous Outer-Root-Sheath Melanocytes Transplantation in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01923142,NO,Vitiligo,BIOLOGICAL: Outer-Root-Sheath Melanocytes Suspension|BIOLOGICAL: Placebo,ALL,ADULT,PHASE2,"Papa Giovanni XXIII Hospital, Bergamo, 24127, Italy|Spedali Civili, Brescia, 25123, Italy","Principal Investigator : Luigi Naldi, MD , Centro Studi Gised"
Vitiligo,NCT03468855,A Study of ATI-50002 Topical Solution for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT03468855,YES,Vitiligo,DRUG: ATI-50002 topical solution,ALL,"ADULT, OLDER_ADULT",PHASE2,"Aclaris Investigator Site, Encinitas, California, 92024, United States|Aclaris Investigator Site, Los Angeles, California, 90036, United States|Aclaris Investigator Site, Worcester, Massachusetts, 01655, United States|Aclaris Investigator Site, Dallas, Texas, 75390, United States|Aclaris Investigator Site, Lynchburg, Virginia, 24501, United States","Aclaris Therapeutics, Inc."
Vitiligo,NCT03155698,Treatment of Acral Vitiligo : Narrowband Ultraviolet-B and Microneedling With and Without Platelet Rich Plasma,https://clinicaltrials.gov/study/NCT03155698,NO,Vitiligo,COMBINATION_PRODUCT: microneedling and Platelet rich plasma|RADIATION: NB-UVB phototherapy,ALL,ADULT,,"Assiut university, Assiut, Egypt","Principal Investigator : Lamiaa Ahmad Abd El-khalek , Assiut University"
Vitiligo,NCT01419964,Efficacy and Safety of ACH24 in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01419964,NO,Vitiligo,DRUG: Group 01|DRUG: Group 02,ALL,"ADULT, OLDER_ADULT",PHASE3,"Irmandade da Santa Casa de MisericÃ³rdia de Curitiba, Curitiba, ParanÃ¡, 80010-030, Brazil","Principal Investigator : CAIO CASTRO, PHYSICIAN , PUNTIFÃCIA UNIVERSIDADE CATÃ“LICA"
Vitiligo,NCT02925767,Efficacy of 311-nm Ti:Sapphire Laser Versus 308-nm Excimer Laser Treatment in Vitiligo,https://clinicaltrials.gov/study/NCT02925767,NO,Vitiligo,DEVICE: 311-nm Ti:Sapphire laser|DEVICE: 308-nm excimer laser,ALL,"ADULT, OLDER_ADULT",,"St. Vincent's Hospital, Suwon, Gyeonggi-do, 16247, Korea, Republic of",The Catholic University of Korea
Vitiligo,NCT01992185,Photocil (Topical) for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01992185,YES,Vitiligo,DRUG: Photocil for Vitiligo|OTHER: Placebo - Sunscreen (SPF 2),ALL,"ADULT, OLDER_ADULT",,"Physicians Institute, Tucson, Arizona, 85719, United States","Study Director : John McCoy, PhD , Applied Biology, Inc."
Vitiligo,NCT03199664,Effectiveness of Narrow-band Ultraviolet B Combined With Topical Tacrolimus 0.03% in Treatment of Patients With Vitiligo,https://clinicaltrials.gov/study/NCT03199664,NO,Vitiligo,RADIATION: NB-UVB|COMBINATION_PRODUCT: NB-UVB & Tacrolimus 0.03%,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,"South valley university, QinÄ, Egypt","Study Director : Ramdan Saleh, MD , Sohag Faculty of Medicine, Sohag university"
Vitiligo,NCT03158675,"Fractional Carbon Dioxide Laser,Topical Corticosteroid and Narrow Band Ultraviolet B in Treatment of Stable Vitiligo",https://clinicaltrials.gov/study/NCT03158675,NO,Vitiligo,PROCEDURE: fractional carbon dioxide(CO2) laser|DRUG: Topical corticosteroid|RADIATION: Ultraviolet B narrow band,ALL,"CHILD, ADULT, OLDER_ADULT",,,"Principal Investigator : Muna Abdullah , Assiut University"
Vitiligo,NCT02281058,Open-label Pilot Study of Abatacept for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT02281058,NO,Vitiligo,DRUG: Abatacept,ALL,"ADULT, OLDER_ADULT",PHASE1,"Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States",Bristol-Myers Squibb
Vitiligo,NCT03013049,A Novel Surgical Method in the Treatment of Unstable Vitiligo,https://clinicaltrials.gov/study/NCT03013049,NO,Vitiligo,PROCEDURE: Non cultured epidermal cell suspension|PROCEDURE: Non cultured dermal cell suspension,ALL,"ADULT, OLDER_ADULT",,"PGIMER, Chandigarh, 160012, India",
Vitiligo,NCT01382589,Afamelanotide and Narrow-Band Ultraviolet B (NB-UVB) Light in the Treatment of Nonsegmental Vitiligo,https://clinicaltrials.gov/study/NCT01382589,NO,Vitiligo,DRUG: Afamelanotide|DEVICE: NB-UVB,ALL,"ADULT, OLDER_ADULT",PHASE2,,"Principal Investigator : Giovanni Leone, MD , San Gallicano Dermatological Institute, Photodermatology Unit, Roma, ITALY"
Vitiligo,NCT01430195,Afamelanotide and Narrow-Band Ultraviolet B (NB-UVB) Light in the Treatment of Nonsegmental Vitiligo (NSV),https://clinicaltrials.gov/study/NCT01430195,NO,Vitiligo,DRUG: Afamelanotide|PROCEDURE: Narrow-Band UVB Light Treatment,ALL,"ADULT, OLDER_ADULT",PHASE1,"Henry Ford Medical Center, Detroit, Michigan, 48202, United States|The Mount Sinai School of Medicine, New York, New York, 10029, United States",
Vitiligo,NCT01333410,Comparison of Efficacy and Safety of 0.1% Tacrolimus and 0.1% Mometasone Furoate for Adult Vitiligo,https://clinicaltrials.gov/study/NCT01333410,NO,Vitiligo,DRUG: tacrolimus ointment|DRUG: Mometasone furoate,ALL,"ADULT, OLDER_ADULT",PHASE4,"Department of Dermatology, Faculty of Medicine Siriraj Hospital, Bangkok, Thailand","Principal Investigator : Chanisada Wongpraparut, M.D. , Faculty of Medicine Siriraj Hospital"
Vitiligo,NCT01629979,Epidermal Cell Transplantation in Vitiligo Skin,https://clinicaltrials.gov/study/NCT01629979,NO,VITILIGO,PROCEDURE: Grafting with epidermal cells|RADIATION: UVB treatment,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"Centre hospitalier Universitaire de Nice, Nice, 06000, France","Principal Investigator : philippe bahadoran, doctor , Centre Hospitalier Universitaire de Nice"
Vitiligo,NCT03249064,Response to Tregs in Innate Immunity Receptor LRP1 (CD91) and Tregs in Periferic Blood Mononuclear Cells in Patients With Non-segmentary Vitiligo,https://clinicaltrials.gov/study/NCT03249064,NO,VITILIGO,DIAGNOSTIC_TEST: CD 91 levels|DIAGNOSTIC_TEST: Tregs,ALL,"ADULT, OLDER_ADULT",,"Hospital de la Santa Creu i Sant Pau, Barcelona, 08025, Spain",FundaciÃ³ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau
Vitiligo,NCT03741738,"The Investigation on the Expression of High Mobility Group Protein Box-1 (HMGB1) in Peripheral Blood of Vitiligo Patients and Healthy Controls According to Clinical Features, Treatment and Disease Activity",https://clinicaltrials.gov/study/NCT03741738,NO,Vitiligo,,ALL,"ADULT, OLDER_ADULT",,"Department of Dermatology, Severance Hospital, Cutaneous Biology Research Institute, Yonsei University College of Medicine, Seoul, 03722, Korea, Republic of",Yonsei University
Vitiligo,NCT00807690,Vitiligo Treated With TL01 Combined With Tacrolimus Ointment Versus Placebo,https://clinicaltrials.gov/study/NCT00807690,NO,Vitiligo,DRUG: Tacrolimus ointment,ALL,"ADULT, OLDER_ADULT",PHASE3,,"Principal Investigator : Eli Johanne Nordal, MD , Rikshospitalet HF, Dept. of Dermatology"
Vitiligo,NCT02191748,Assessing the Efficacy of Needling With or Without Corticosteroids in the Repigmentation of Vitiligo,https://clinicaltrials.gov/study/NCT02191748,NO,Vitiligo,PROCEDURE: Needling|DRUG: Triamcinolone,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"RWJUH Dermatology office, Somerset, New Jersey, 08873, United States",
Vitiligo,NCT03668834,"Comparing Recipient Site Preparation Using Dermabrasion, Dermaroller and Liquid Nitrogen Induced Blister in Non Cultured Epidermal Cell Suspension in Stable Vitiligo",https://clinicaltrials.gov/study/NCT03668834,NO,Vitiligo,PROCEDURE: Dermabrasion with NCES|PROCEDURE: Dermaroller with NCES|PROCEDURE: Liquid nitrogen induced blister with NCES,ALL,"ADULT, OLDER_ADULT",,"PGIMER, Chandigarh, 160012, India","Post Graduate Institute of Medical Education and Research, Chandigarh"
Vitiligo,NCT00615355,Epidermal Cell Transplantation in Vitiligo Skin With and Without Narrow-band Ultraviolet B (UVB) Treatment,https://clinicaltrials.gov/study/NCT00615355,NO,Vitiligo,RADIATION: UVB 311 nm radiation|DEVICE: UVB 311nm,ALL,"ADULT, OLDER_ADULT",,"Medical University, Department of Dermatology, Graz, 8036, Austria","Principal Investigator : Angelika Hofer , Medical Univsersity of Graz, Department of Dermatology, Austria"
Vitiligo,NCT00134368,Study of the Efficacy and Safety of Etanercept in Adults With Vitiligo,https://clinicaltrials.gov/study/NCT00134368,NO,Vitiligo,DRUG: Etanercept,ALL,"ADULT, OLDER_ADULT",PHASE2,"UMDNJ Psoriasis Center of Excellence, New Brunswick, New Jersey, 08903, United States","Principal Investigator : Alice Gottlieb, MD, PhD , UMDNJ-RWJMS"
Vitiligo,NCT00367224,Determining the Tolerance of Depigmented Skin to Targeted Phototherapy Using UVB in Patients With Vitiligo,https://clinicaltrials.gov/study/NCT00367224,NO,Vitiligo,PROCEDURE: 6 to 9 ultraviolet B treatments|PROCEDURE: Skin biopsies,ALL,"ADULT, OLDER_ADULT",,"Department of Dermatology/Henry Ford Hospital, Detroit, Michigan, 48202, United States",
Vitiligo,NCT01787695,UVA 1 Phototherapy for Vitiligo,https://clinicaltrials.gov/study/NCT01787695,NO,Vitiligo,PROCEDURE: UVA1,ALL,"ADULT, OLDER_ADULT",PHASE2,"The Skin Care Center, Vancouver General Hospital, Vancouver, British Columbia, V5Z 4E8, Canada","Principal Investigator : Harvey Lui, MD, FRCPC , University of British Columbia"
Vitiligo,NCT01459055,Long-term Follow-up in Patients Affected With Acrofacial Vitiligo,https://clinicaltrials.gov/study/NCT01459055,NO,Vitiligo,,ALL,"ADULT, OLDER_ADULT",,"Irmandade da Santa Casa de MisericÃ³rdia de Curitiba, Curitiba, Parana, 80730000, Brazil","Principal Investigator : Caio C Silva de Castro, MD, PhD , Irmandade da Santa Casa de MisericÃ³rdia de Curitiba"
Vitiligo,NCT00368407,Optimal Treatment Frequency of 308-Nm Excimer Laser for Vitiligo on the Face and Neck,https://clinicaltrials.gov/study/NCT00368407,NO,Vitiligo,DEVICE: 308-nm excimer laser,ALL,"CHILD, ADULT",,"Department of dermatology, Xijing Hospital, Xi'an, SHANNXI, 710032, China","Study Director : gao tianwen, MD,PHD , Ddepartment of Dermatology"
Vitiligo,NCT01262547,A New Micrografting Technique for Vitiligo,https://clinicaltrials.gov/study/NCT01262547,YES,Vitiligo,DEVICE: Dermabrasion-Micrografting|PROCEDURE: Dermabrasion,ALL,"ADULT, OLDER_ADULT",PHASE2,"Mgh Curtis, Boston, Massachusetts, 02114, United States",
Vitiligo,NCT00622180,The Efficacy of Hand Narrow-Band Ultraviolet B (NBUVB) Versus Excilite Treatment in Vitiligo After Minigrafting on the Dorsal Hands,https://clinicaltrials.gov/study/NCT00622180,YES,Vitiligo,DEVICE: NBUVB|DEVICE: Monochromacitc Excimer light,ALL,"ADULT, OLDER_ADULT",,"UT Southwestern Medical Center at Dallas - Dermatology Clinical Trials, Dallas, Texas, 75390-8802, United States","Principal Investigator : Amit Pandya, M.D. , UT Southwestern Medical Center at Dallas - Department of Dermatology"
Vitiligo,NCT01822379,Comparative Study of Techniques in Melanocyte-Keratinocyte Transplantation for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01822379,NO,Vitiligo,PROCEDURE: Melanocyte Keratinocyte transplantation,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"Henry Ford Hospital Department of Dermatology, Detroit, Michigan, 48202, United States","Principal Investigator : Iltefat H Hamzavi, MD , Henry Ford Dermatology"
Vitiligo,NCT00631865,Autologous Transplantation of Melanocytes for Treatment of Vitiligo Skin,https://clinicaltrials.gov/study/NCT00631865,NO,Vitiligo,BIOLOGICAL: Melanocyte transplantation,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Royan Institute, Tehran, 1665659911, Iran, Islamic Republic of","Principal Investigator : Hossein Baharvand, PhD , Head of Royan stem cell department Principal Investigator : Saeeid Shafieian, MD , Firoozgar Hospital Study Director : Nasser Aghdami, MD., PhD , Head of Royan transplantation Lab"
Vitiligo,NCT00380471,Treatment and Complication of Bath PUVA in Vitiligo,https://clinicaltrials.gov/study/NCT00380471,NO,Vitiligo,DEVICE: Bath PUVA,ALL,"ADULT, OLDER_ADULT",PHASE2,"Skin Research Center, Shaheed Beheshti Medical University, Tehran, 19899, Iran, Islamic Republic of","Study Chair : Parviz Toossi, M.D. , Shahid Beheshti University of Medical Sciences"
Vitiligo,NCT03022019,ReNovaCell in Non-segmental Vitiligo,https://clinicaltrials.gov/study/NCT03022019,NO,Non-segmental Vitiligo|Vitiligo,DEVICE: ReNovaCell,ALL,"ADULT, OLDER_ADULT",,"Nipd / Amc, Amsterdam, 1105AZ, Netherlands",
Vitiligo,NCT00398723,Narrowband UVB Treatment in Patients With Vitiligo,https://clinicaltrials.gov/study/NCT00398723,NO,Vitiligo,DEVICE: Narrowband UVB,ALL,"ADULT, OLDER_ADULT",,"Rockefeller University Hospital, New York, New York, 10021, United States",
Vitiligo,NCT06261086,Evaluation of Pyroptosis-related Indicators in the Pathogenesis of Vitiligo:Across-sectional Comparative Study,https://clinicaltrials.gov/study/NCT06261086,NO,Vitiligo,"DIAGNOSTIC_TEST: evaluate serum levels pyroptosis-related indicators (GASDM-D, IL 1Î² & IL-18)",ALL,"ADULT, OLDER_ADULT",,,Sohag University
Vitiligo,NCT01006421,Oral Ginkgo Biloba and Narrow Band UVB in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01006421,NO,Vitiligo,DIETARY_SUPPLEMENT: GINGKO BILOBA,ALL,"CHILD, ADULT, OLDER_ADULT",,"King Khalid University Hospital, Riyadh, Central, Saudi Arabia","Study Chair : KHALID M ALGHAMDI, MD , KSU"
Vitiligo,NCT05467839,Evaluation of Efficacy of Microneedling and Topical Methotrexate Versus Microneedling and Topical 5-flourouracil in Treatment of Vitillgo Patients,https://clinicaltrials.gov/study/NCT05467839,NO,Vitiligo,DEVICE: derma pen,ALL,"CHILD, ADULT, OLDER_ADULT",,"Sohag University Hospital, Sohag, Egypt",Sohag University
Vitiligo,NCT00525395,Virus Early Transcription Factor (VETF) Multicenter Phototherapy Protocol,https://clinicaltrials.gov/study/NCT00525395,NO,Vitiligo,GENETIC: Sequential phototherapy|PROCEDURE: Continuous phototherapy,ALL,ADULT,PHASE3,"Istituto San Gallicano -, Rome, 00100, Italy","Study Chair : Mauro Picardo, MD , Istituto San Gallicano - Rome - Italy"
Vitiligo,NCT00172939,Molecular Mechanisms of Helium-Neon Laser on Melanocyte Regeneration in Skin Equivalent Vitiligo Model,https://clinicaltrials.gov/study/NCT00172939,NO,Vitiligo,PROCEDURE: foreskin from healthy adults,MALE,ADULT,PHASE1,"National Taiwan University Hospital, Taipei, Taiwan","Study Director : Hsin-Su Yu, MD PHD , National Taiwan University Hospital"
Vitiligo,NCT05256147,Effect of Combination Non Steroidal Antiinflammatory Drugs and Narrowband UVB Treatment in Non-Photoadapters,https://clinicaltrials.gov/study/NCT05256147,NO,Vitiligo,DRUG: Ibuprofen,ALL,"ADULT, OLDER_ADULT",,"Henry Ford Dermatology, Detroit, Michigan, 48202, United States",
Vitiligo,NCT00177034,Examination Of Vitiligo Skin Samples Before and After UVB Treatment,https://clinicaltrials.gov/study/NCT00177034,NO,Vitiligo,DRUG: Narrow Band UVB Treatment,ALL,"ADULT, OLDER_ADULT",,"University of Minnesota, Minneapolis, Minnesota, 55455, United States","Principal Investigator : Mimi Cho, MD, PhD , University of Minnesota"
Vitiligo,NCT01511965,Study of Applications of Autologous Epidermal Cells in Liquid Phase in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT01511965,NO,Vitiligo,OTHER: autologous (cellular therapy),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,"service de Dermatologie - HÃ´pital l'Archet, Nice, 06200, France","Principal Investigator : Philippe Bahadoran, PH , Centre Hospitalier Universitaire de Nice"
Vitiligo,NCT01087216,Interest of the Dermabrasion by Laser Erbium in the Treatment of the Vitiligo,https://clinicaltrials.gov/study/NCT01087216,NO,Vitiligo,DEVICE: Group Laser = Arm A|DRUG: Bras B : The group control,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"CHU de Nice - 4 avenue Reine Victoria - HÃ´pital de Cimiez, Nice, Alpes-Maritimes, 06001, France","Principal Investigator : PASSERON Ph Thierry, Md , CHU de Nice - Service de Dermatologie - HÃ´pital de l'Archet - 151 Route de saint-antoine de ginestiÃ¨re 06200 Nice"
Vitiligo,NCT03933774,"PHNA, Efficacy of Tretinoin Cream on Post-phototherapy Hyperpigmentation",https://clinicaltrials.gov/study/NCT03933774,YES,Vitiligo,DRUG: Tretinoin 0.05% cream|DRUG: Placebo cream,ALL,"ADULT, OLDER_ADULT",,"St. Vincent's Hospital, Suwon, Gyeonggi-do, 16247, Korea, Republic of","Principal Investigator : Jung Min Bae, MD, PhD , Department of Dermatology, College of Medicine, Catholic University of Korea"
Vitiligo,NCT01792245,Topical Psoralen Ultraviolet Light A Versus Narrow Band Ultraviolet Light B Treatment for Recalcitrant Dermatoses of the Hand,https://clinicaltrials.gov/study/NCT01792245,NO,Vitiligo,DEVICE: Phototherapy,ALL,"ADULT, OLDER_ADULT",PHASE2,"The Skin Care Center, Vancouver General Hospital, Vancouver, British Columbia, V5Z 4E8, Canada","Principal Investigator : Harvey Lui, MD, FRCPC , University of British Columbia"
Vitiligo,NCT05676333,Secukinumab in Active Non-segmental Vitiligo,https://clinicaltrials.gov/study/NCT05676333,NO,Vitiligo|Secukinumab,DRUG: Secukinumab,ALL,"ADULT, OLDER_ADULT",PHASE4,"Department of Dermatology, Ghent University Hospital, Gent, Oost-Vlaanderen, 9000, Belgium","Principal Investigator : van Geel Nanja, MD, PhD , Department of Dermatology, Ghent University Hospital"
Vitiligo,NCT05980390,IL35 Level in Vitiligo,https://clinicaltrials.gov/study/NCT05980390,NO,"IL35, Vitiligo",DIAGNOSTIC_TEST: IL 35 in tissue biopsy,ALL,ADULT,,,Cairo University
Vitiligo,NCT05503368,Autologous Cellular Graft in Surgical Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT05503368,NO,"Vitiligo, Generalized",PROCEDURE: surgical treatment of vitiligo using NCES,ALL,"ADULT, OLDER_ADULT",,"Cairo university hospitals, dermatology outpatient clinic, Cairo, Egypt","Principal Investigator : Rania M Mogawer , Kasr Alainy, Cairo University Hospitals Study Director : Samia M Esmat , Kasr Alainy, Cairo University Hospitals"
Vitiligo,NCT06327321,Vitiligo Treatment by Targeting TYK2 Mediated Responses,https://clinicaltrials.gov/study/NCT06327321,NO,"Vitiligo, Generalized",DRUG: Deucravacitinib|OTHER: Volunteer without treatment,ALL,"ADULT, OLDER_ADULT",PHASE3,"CHU de Nice - HÃ´pital de l'Archet, Nice, Alpes-Maritimes, 06200, France|APHP, Henri Mondor, Paris, Creteil, France|CHU de Bordeaux, Bordeaux, Talence, 33000, France|CHU de Lille, Lille, France|HCL, Lyon, France","Principal Investigator : PASSERON Thierry, PhD , CHU de Nice, Service de Dermatologie"
