NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
NCT03779906,Thyroid Function of Pediatric Subjects Following Isovue® Administration,https://clinicaltrials.gov/study/NCT03779906,NO,Hypothyroidism,DRUG: Isovue,ALL,CHILD,PHASE4,"Children's Hospital and Medical Center, Omaha, Nebraska, 68114, United States",
NCT05421468,Timing of Thyroxine Dose In Ramadan,https://clinicaltrials.gov/study/NCT05421468,NO,Hypothyroidism,OTHER: L-Thyroxine time B (5-15 minutes Before dawn),ALL,"ADULT, OLDER_ADULT",,"Reem Alamoudi, Jeddah, 21423, Saudi Arabia|KingAbullahIMRC, Jeddah, Saudi Arabia",King Abdullah International Medical Research Center
NCT00715572,Combined Therapy With L-Thyroxine and L-Triiodothyronine Compared to L-Thyroxine Alone,https://clinicaltrials.gov/study/NCT00715572,NO,Hypothyroidism,DRUG: thyroxine|DRUG: thyroxine and triiodothyronine,FEMALE,ADULT,,,"Principal Investigator : Valentin V Fadeyev , Moscow Medical Academy, Department of Endocrinology"
NCT05033496,The Yield of Postnatal Thyroid Function Test in the Well Baby Nursery,https://clinicaltrials.gov/study/NCT05033496,NO,Hypothyroidism,DIAGNOSTIC_TEST: Thyroid function test,ALL,CHILD,,"Hillel Yaffe medical center, H̱adera, Hadera, 38100, Israel","Principal Investigator : Erez Nadir, MD , Hillel Yaffe Medical Center"
NCT04877665,Establishing RIs for TSH in Children Under the Age of Two Years,https://clinicaltrials.gov/study/NCT04877665,NO,Hypothyroidism,,ALL,CHILD,,"The Aga Khan University, Karachi, Sindh, 3500, Pakistan","Principal Investigator : Siraj Muneer , The Aga Khan University"
NCT02317926,Desiccated Thyroid Extract Versus Synthetic T3/T4 Combination (ThyrolarTM) Versus L-T4 Alone in the Therapy of Primary Hypothyroidism With Special Attention to the Gene Polymorphism,https://clinicaltrials.gov/study/NCT02317926,NO,Hypothyroidism,DRUG: Levothyroxine|DRUG: Levothyroxine Plus Liothyronine|DRUG: Desiccated Thyroid Extract,ALL,"ADULT, OLDER_ADULT",,"Walter Reed National Military Medical Center, Besthesda, Maryland, 20889, United States",Walter Reed National Military Medical Center
NCT04098991,Improving White Matter Integrity With Thyroid Hormone,https://clinicaltrials.gov/study/NCT04098991,NO,Hypothyroidism,DRUG: Levothyroxine,ALL,ADULT,,"University of Illinois at Chicago, Chicago, Illinois, 60612, United States","Principal Investigator : Olusola A Ajilore, MD/PhD , University of Illinois at Chicago"
NCT03988517,Comparing Two-time Points of Thyroid Hormone Replacement During the Holy Month of Ramadan,https://clinicaltrials.gov/study/NCT03988517,NO,Hypothyroidism,OTHER: timing of receiving the drug,ALL,"ADULT, OLDER_ADULT",,"Hamad General Hospital, Doha, 3050, Qatar","Principal Investigator : Wajiha Abu Haliqa, MD , Hamad Medical Corporation"
NCT01744743,Preconceptional Thyroid Screening and Childhood Nerocognitive Function,https://clinicaltrials.gov/study/NCT01744743,NO,Hypothyroidism,PROCEDURE: levothyroxine,FEMALE,ADULT,,"Obstetrics and Gynecology Hospital, Fudan University, Shanghai, Shanghai, 200011, China","Principal Investigator : Xiaotian Li, MD, PhD , Obstetrics and Gynecology Hospital, Fudan University"
NCT01921452,Study to Verify Clinical Utility of Point-of-Care (POC) Thyroid Stimulating Hormone (TSH) Test Kits as Compared to Third Generation TSH Test Kit,https://clinicaltrials.gov/study/NCT01921452,YES,Hypothyroidism,DEVICE: Quantitative POC TSH Kit|DEVICE: Qualitative POC TSH Kit|DEVICE: Third generation TSH Kit,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,"Research site, Shanghai, China","Study Director : Medical Responsible , Merck Serono Co. Ltd. an affiliate of Merck KGaA, Darmstadt, Germany"
NCT03053115,Combined Replacement Therapy With Levothyroxine and Liothyronine in Thyroidectomized Patients,https://clinicaltrials.gov/study/NCT03053115,NO,Hypothyroidism,DRUG: Liothyronine|DRUG: Levothyroxin|DRUG: Placebos,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"AziendaUSLModena, Modena, 41126, Italy",
NCT01744769,Effects of Thyroid Hormone Withdrawal on Metabolic Parameters During Radioactive Iodine Therapy in Thyroid Cancer,https://clinicaltrials.gov/study/NCT01744769,NO,Hypothyroidism,,ALL,"ADULT, OLDER_ADULT",,"Konkuk University Medical Center, Seoul, 143-729, Korea, Republic of","Principal Investigator : Suk Kyeong Kim, MD, PhD , Konkuk University Medical Center"
NCT00111735,Thyroxine Titration Study,https://clinicaltrials.gov/study/NCT00111735,NO,Hypothyroidism,DRUG: Thyroxine,ALL,"ADULT, OLDER_ADULT",PHASE4,"Sir Charles Gairdner Hospital, Nedlands, Western Australia, 6009, Australia",Sir Charles Gairdner Hospital
NCT01916304,Study of Dose Adjustment From Levothyroxine to a New Levothyroxine Sodium Test Formulation,https://clinicaltrials.gov/study/NCT01916304,YES,Hypothyroidism,DRUG: Levothyroxine sodium new formulation,ALL,"ADULT, OLDER_ADULT",PHASE2,"Leuven, Belgium","Study Director : Medical Responsible , Takeda"
NCT01647750,Study of Optimal Replacement of Thyroxine in the Elderly,https://clinicaltrials.gov/study/NCT01647750,NO,Hypothyroidism,DRUG: Levothyroxine|DRUG: Levothyroxine,ALL,OLDER_ADULT,PHASE4,"Bensham Hospital, Gateshead, Tyne and Wear, NE8 4YL, United Kingdom|Clinical Research Facility, Newcastle upon Tyne, Tyne and Wear, NE1 4LP, United Kingdom","Principal Investigator : Salman Razvi , Gateshead Health NHS Foundation Trust"
NCT01536678,Bioequivalence of Two Levothyroxine Tablet Formulations in Healthy Indian Volunteers,https://clinicaltrials.gov/study/NCT01536678,NO,Hypothyroidism,DRUG: Levothyroxine|DRUG: Levothyroxine,MALE,ADULT,PHASE4,"GSK Investigational Site, Hyderabad, 500051, India","Study Director : GSK Clinical Trials , GlaxoSmithKline"
NCT00287144,Post Partum Thyroiditis 2: Long Term Observations,https://clinicaltrials.gov/study/NCT00287144,NO,Hypothyroidism,,FEMALE,"CHILD, ADULT, OLDER_ADULT",,"Sykehuset Telemark HF, Skien, 3710, Norway",
NCT03823859,Metabolomics of Thyroid Hormones,https://clinicaltrials.gov/study/NCT03823859,NO,Central Hypothyroidism|Hypothyroidism|Hyperthyroidism,DIAGNOSTIC_TEST: Indirect calorimetry|DIAGNOSTIC_TEST: Dual energy X-ray Absorptiometry (DXA)|DIAGNOSTIC_TEST: Blood sampling,ALL,"ADULT, OLDER_ADULT",,"University Hospital Basel, Department of Endocrinology, Basel, BS, 4031, Switzerland","Study Director : Matthias Betz, PD Dr. med. , Klinik Endokrinologie, Diabetes und Metabolismus"
NCT00747760,TSH Receptor Mutations Among a Consanguineous Community,https://clinicaltrials.gov/study/NCT00747760,NO,Hypothyroidism,,ALL,"CHILD, ADULT, OLDER_ADULT",,"Samuell Refetoff, Chicago, Illinois, 60637-1470, United States|Ha'Emek Medical Center, Afula, 18101, Israel","Principal Investigator : Yardena Tenenbaum-Rakover, MD , Ha'Emelk Medical Center,Afula, Israel Principal Investigator : Samuel Refetoff, MD , The University of Chicago, Chicago, Il, USA"
NCT00205348,Swallowing Function Before and After Surgery for Thyroid Goiter,https://clinicaltrials.gov/study/NCT00205348,YES,Hypothyroidism,,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Herbert Chen, MD , University of Wisconsin Medical School"
NCT04712760,Congenital Hypothyroidism in Children With Eutopic Gland or Thyroid Hemiagenesis: Predictive Factors for Transient vs Permanent Hypothyroidism.,https://clinicaltrials.gov/study/NCT04712760,NO,Congenital Hypothyroidism,,ALL,CHILD,,"CHRU Nancy, Nancy, 54000, France","Principal Investigator : Emeline Renard, MD , CHRU Nancy"
NCT04831957,Hypothyroidism After the TAVI Procedure in Elderly Patients,https://clinicaltrials.gov/study/NCT04831957,NO,Hypothyroidism|TAVI,DIAGNOSTIC_TEST: Assesment of thyroïd function,ALL,OLDER_ADULT,,"UZ brussel, Brussel, 1090, Belgium",Universitair Ziekenhuis Brussel
NCT05801822,Screening of Subclinical Hypothyroidism in Pregnant Women,https://clinicaltrials.gov/study/NCT05801822,NO,Subclinical Hypothyroidism,DIAGNOSTIC_TEST: serum T.S.H level test,FEMALE,ADULT,,,"Principal Investigator : Amira M Mahmoud, bachelor , Sohag University"
NCT05276856,Recovery Rate in Secondary Hypothyroidism,https://clinicaltrials.gov/study/NCT05276856,NO,Secondary Hypothyroidism,DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",,,Nova Scotia Health Authority
NCT03036956,The Prevalence of Sub Clinical Hypothyroidism During Early Pregnancy in Pakistan,https://clinicaltrials.gov/study/NCT03036956,NO,Subclinical Hypothyroidism,,FEMALE,ADULT,,"Isra University hospital, Hyderabad, 71800, Pakistan|Pakistam Insititute of Medical science, Islamabad, 144001, Pakistan|Atia Hospital Hospital, Karachi, 75100, Pakistan|Boluvard Hospital, Karachi, 75500, Pakistan|MediCell Hospital, Karachi, 75500, Pakistan|Services Hospital, Lahore, 54000, Pakistan|Sir Ganga Ram hospital, Lahore, 54000, Pakistan|Welcare Medical Centre, Muzafferabad, Azad Kashmir, 13100, Pakistan|Lady Reading hospital, Peshawar, 25000, Pakistan","Study Director : Raeefuddin Ahmed, MD , Abbott"
NCT03465176,The Effect of Aroma on Fatigue Scores Among Women With Hypothyroidism,https://clinicaltrials.gov/study/NCT03465176,NO,Fatigue|Hypothyroidism,OTHER: Aromatherapy Blend|OTHER: Placebo,FEMALE,ADULT,,"Franklin Institute of Wellness, Franklin, Tennessee, 37067, United States",Franklin Health Research
NCT05316922,TSH Suppression During Radiotherapy on Thyroid Site to Prevent Iatrogenic Hypothyroidism in Pediatric Cancer Patients,https://clinicaltrials.gov/study/NCT05316922,NO,Hypothyroidism; Irradiation,DRUG: Levothyroxine,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, 20133, Italy","Fondazione IRCCS Istituto Nazionale dei Tumori, Milano"
NCT05371262,Influence of Initial Levothyroxine Dose on Neurodevelopmental and Growth Outcomes in Congenital Hypothyroidism,https://clinicaltrials.gov/study/NCT05371262,NO,Congenital Hypothyroidism,DRUG: Levothyroxin,ALL,CHILD,PHASE4,,"Principal Investigator : Mariacarolina Salerno, Professor , Federico II University"
NCT02430857,Osteopathy and Latent Hypothyroidism,https://clinicaltrials.gov/study/NCT02430857,NO,Latent Hypothyroidism,OTHER: OMT,FEMALE,"ADULT, OLDER_ADULT",,,"Principal Investigator : Emanuel Diekmann, DO , Praxis fuer Osteopathy"
NCT04288115,Discontinuation of Levothyroxine Therapy for Patients With Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT04288115,YES,Subclinical Hypothyroidism,DRUG: Levothyroxine|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE4,"Central Arkansas Veterans Healthcare System Eugene J. Towbin Healthcare Center, Little Rock, AR, North Little Rock, Arkansas, 72114-1706, United States","Principal Investigator : Spyridoula Maraka, MD MS , Central Arkansas Veterans Healthcare System Eugene J. Towbin Healthcare Center, Little Rock, AR"
NCT04784208,A Study to Determine the Validity and Sensitivity of 'Questionnaire to Screen for HYpothyroidism' (Q'SHY),https://clinicaltrials.gov/study/NCT04784208,NO,Hypothyroidism|Healthy,DIAGNOSTIC_TEST: Blood test for Thyroid stimulating hormone (TSH),ALL,"ADULT, OLDER_ADULT",,"Diabecare, Mumbai, Maharashtra, 400706, India|Center for Diabetes and Endocrine care, Bangalore, 560043, India|Apollo Excelcare Hospital, Guwahati, 781033, India|Care Outpatient Centre, Hyderabad, 500034, India|FS Endocrine and Diabetic Centre, Hyderabad, 500059, India|Dr. MV Rama Mohan, MD, DM, Hyderabad, India|Diabetes Thyroid Endocrine Center, Jaipur, 302006, India|Healthy Lifestyle Clinic, Kolkata, 700014, India|Ananda Clinic, Kolkata, 700034, India|Khandelwal Diabetes Thyroid & Endocrinology Clinic, New Delhi, 110063, India|Chellaram Diabetes Institute, Pune, 411021, India","Study Director : Shivani Acharya , Abbott"
NCT05228184,Use of Tirosint®-SOL or Tablet Formulations of Levothyroxine in Pediatric Patients With Congenital Hypothyroidism (CH),https://clinicaltrials.gov/study/NCT05228184,NO,Congenital Hypothyroidism,DRUG: Tirosint®-SOL|DRUG: Levothyroxine Sodium,ALL,CHILD,PHASE4,"Children's Hospital of Los Angeles, Los Angeles, California, 90027, United States|CHOC Children's Hospital, Orange, California, 92868, United States|University of California San Francisco, San Francisco, California, 94143, United States|Yale University, New Haven, Connecticut, 06511, United States|Children's Hospital of Atlanta, Atlanta, Georgia, 30329, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Boston Children's Hospital, Boston, Massachusetts, 02115, United States|Children's Mercy Hospital and Clinics, Kansas City, Missouri, 64111, United States|Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States|Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Cook Children's Health Care Systems, Fort Worth, Texas, 76104, United States","Study Director : Giuseppe Mautone , IBSA Head of R&D Scientific Affairs"
NCT01997554,Validation of a New TSH Test,https://clinicaltrials.gov/study/NCT01997554,NO,Sub-clinical Hypothyroidism|Hypothyroidism|Euthyroidism,OTHER: Blood sample,ALL,"ADULT, OLDER_ADULT",,"Centre Hospitalier de Chambéry, Chambéry, 73000, France|Centre Hospitalier Lyon Sud, Pierre-Bénite, 69495, France",Hospices Civils de Lyon
NCT01280292,"Central Hypothyroidism, a Novel Laboratory Measurement",https://clinicaltrials.gov/study/NCT01280292,NO,Central Hypothyroidism,DRUG: Eltroxin,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Ruth Percik, M.D. , Sheba Medical Center"
NCT05682482,LT4/LT3 Combination Therapy Versus LT4 Monotherapy in Patients With Autoimmune Hypothyroidism.,https://clinicaltrials.gov/study/NCT05682482,NO,Autoimmune Hypothyroidism,DRUG: LT3 (liothyronine)|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,"Amsterdam UMC - Location AMC, Amsterdam, Netherlands|Rijnstate, Arnhem, Netherlands|Van Weel-Bethesda Hospital, Dirksland, Netherlands|Albert Schweitzer Hospital, Dordrecht, Netherlands|Admiraal de Ruyter Hospital, Goes, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Maastricht University Medical Center, Maastricht, Netherlands|Radboudumc, Nijmegen, Netherlands|Erasmus Medical Center, Rotterdam, Netherlands|Maasstad Hospital, Rotterdam, Netherlands|Franciscus Gasthuis & Vlietland, Schiedam, Netherlands|Zuyderland, Sittard, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|Maxima Medical Center, Veldhoven, Netherlands","Principal Investigator : Marco Medici, MD PhD , Erasmus Medical Center"
NCT02090907,Effects of Levothyroxine on Endothelial Function of Patients With Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT02090907,NO,Subclinical Hypothyroidism,DRUG: Levothyroxine|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"Khorshid endocrinology clinic, Isfahan, Iran, Islamic Republic of","Principal Investigator : Nasmi Niknam, M.D. , Isfahan University of Medical Sciences"
NCT01801033,Effects of Thyroid Hormone Enzyme Blocking on Hypothyroidism,https://clinicaltrials.gov/study/NCT01801033,NO,Hypothyroidism|Thyroidectomy,,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Francesco S Celi, M.D. , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"
NCT02399475,Mechanistic Study of Subclinical Hypothyroidism In the Elderly,https://clinicaltrials.gov/study/NCT02399475,YES,Subclinical Hypothyroidism,DRUG: Levothyroxine|DRUG: Liothyronine|DRUG: Thyrotropin-Releasing Hormone,ALL,OLDER_ADULT,,"University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","Principal Investigator : Anne R Cappola, MD, ScM , The University of Pennsylvania"
NCT00962221,Lipids Profile in Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT00962221,NO,Subclinical Hypothyroidism,PROCEDURE: laboratory analysis,ALL,"ADULT, OLDER_ADULT",,"Endocrine Institute, Haemek Medical Center, Afula, 18101, Israel",
NCT02689609,Post-radiation Hypothyroidism After IMRT for Nasopharyngeal Carcinoma,https://clinicaltrials.gov/study/NCT02689609,NO,Hypothyroidism|Complications,RADIATION: Intensity-modulated radiation therapy,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Victor HF Lee, MD , The University of Hong Kong"
NCT02374593,Targeted Levothyroxine Dosing in Infants With Congenital Hypothyroidism,https://clinicaltrials.gov/study/NCT02374593,YES,Congenital Hypothyroidism,DRUG: Levothyroxine|DEVICE: Ultrasound,ALL,CHILD,,"Riley Hospital for Children, Indianapolis, Indiana, 46202, United States","Principal Investigator : Erica Eugster, MD , Indiana University"
NCT01660126,Thyroid Hormone Replacement for Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT01660126,NO,Subclinical Hypothyroidism,DRUG: Levothyroxine|DRUG: Placebo,ALL,OLDER_ADULT,PHASE4,"Glasgow Royal Infirmary, NHS Greater Glasgow and Clyde, Glasgow, G31 2ER, United Kingdom","Principal Investigator : David J Stott, MBChB MD , University of Glasgow Principal Investigator : Jacobijn Gussekloo, MD , Leiden University Medical Center Principal Investigator : Nicolas Rodondi, MD , University of Bern Principal Investigator : Patricia Kearney, MD , University College Cork Principal Investigator : Rudi JG Westendorp, MD , University of Copenhagen"
NCT05019118,Dietary Intervention With Únicla Dairy Products (DANTIAN),https://clinicaltrials.gov/study/NCT05019118,NO,Subclinical Hypothyroidism,OTHER: Experimental milk|OTHER: Experimental yogur|OTHER: Experimental fresh cheese|OTHER: Placebo milk|OTHER: Placebo yogur|OTHER: Placebo fresh cheese,FEMALE,"ADULT, OLDER_ADULT",,"Nursing University School of Ourense, Ourense, 32005, Spain","Principal Investigator : Maria Reyes Pérez- Fernández, PhD , Galicia sur sanitary research institute"
NCT02005250,Bone Structure and Strength Evaluated by Extreme-CT Scan Before and After Treatment of Hyper- and Hypothyroidism,https://clinicaltrials.gov/study/NCT02005250,YES,Hyperthyroidism|Hypothyroidism,,FEMALE,"ADULT, OLDER_ADULT",,"Odense University Hospital, Odense, 5000, Denmark","Principal Investigator : Steen Bonnema, phd, DMsci , Odense University Hospital"
NCT00493103,TG Gene Mutations and Congenital Hypothyroidism,https://clinicaltrials.gov/study/NCT00493103,NO,Congenital Hypothyroidism,,ALL,"CHILD, ADULT, OLDER_ADULT",,,"Principal Investigator : Viviane Pardo , University of São Paulo Study Director : Geraldo Medeiros-Neto , University of São Paulo"
NCT04734457,Final Height in Patients With CH Diagnosed by the Screening,https://clinicaltrials.gov/study/NCT04734457,NO,Congenital Hypothyroidism,DRUG: Levothyroxin,ALL,"CHILD, ADULT, OLDER_ADULT",,"Ain Shams University, Cairo, Abbasiya, 1181, Egypt","Study Director : Wessam Mouharram, PhD , Ain Shams University Study Director : Rana Mahmoud, PhD , Ain Shams University"
NCT01916018,Clinical and Genetic Analysis in Congenital Hypothyroidism Due to Thyroid Dysgenesis.,https://clinicaltrials.gov/study/NCT01916018,NO,Congenital Hypothyroidism,OTHER: Clinical and radiologic exams and blood samples,ALL,"CHILD, ADULT, OLDER_ADULT",,"Pediatric endocrinology gynecology and diabetology, Hôpital Necker Enfants Malades, Assistance Publique - Hôpitaux de Paris , Université Paris Descartes, INSERM unit U 845, Paris, 75015, France",Assistance Publique - Hôpitaux de Paris
NCT01739972,Desiccated Thyroid Extract and Levothyroxine for Hypothyroidism Treatment,https://clinicaltrials.gov/study/NCT01739972,NO,Primary Hypothyroidism.,DRUG: Levothyroxine|DRUG: Desiccated thyroid extract,ALL,"ADULT, OLDER_ADULT",,"Walter Reed National Military Medical Center, Endocrinology, Bethesda, Maryland, 20889-5600, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, 20889-5600, United States",
NCT05733078,Effect of Vitamin C Supplementation in Patients With Primary Hypothyroidism,https://clinicaltrials.gov/study/NCT05733078,NO,Hypothyroidism|Primary Hypothyroidism|Vitamin C Deficiency,DRUG: Vitamin C|DRUG: Oral Rehydration Salt Formulations,ALL,"ADULT, OLDER_ADULT",PHASE2,"Internal Medicine, College of Medicine and Health Sciences, Al Ain, Abu Dhabi, 15551, United Arab Emirates","Principal Investigator : Adnan Agha , United Arab Emirates University"
NCT03102177,"Effect of Age, Weight and Sex on Levothyroxine Pharmacokinetics",https://clinicaltrials.gov/study/NCT03102177,NO,Hypothyroidism Primary,DRUG: Administration of stable Isotope labeled levothyroxine,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,,Georgetown University
NCT00921050,Subclinical Hypothyroidism and Mind in the Elderly,https://clinicaltrials.gov/study/NCT00921050,NO,Subclinical Hypothyroidism,DRUG: levothyroxine sodium|DRUG: excipient without levothyroxine (placebo),ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"Endocrinology, Outpatient Hospital Clinic, Monterrey, Nuevo Leon, 64460, Mexico|Community Health Center (Fomerrey 19), Monterrey, Nuevo Leon, Mexico","Principal Investigator : Lilia Cardenas-Ibarra, M.D. , Endocrinology, University Hospital, Universidad Autonoma de Nuevo Leon Study Chair : Jesus Z Villarreal-Perez, M.D. , Endocrinology, University Hospital, Universidad Autonoma de Nuevo Leon"
NCT03496363,Hypothyroidism With Congenital Heart Disease (CHD),https://clinicaltrials.gov/study/NCT03496363,NO,Hypothyroidism|CHD,"DIAGNOSTIC_TEST: TSH , T4",ALL,CHILD,,,Assiut University
NCT04806269,Biosignals by Wearables in Thyroid Dysfunction,https://clinicaltrials.gov/study/NCT04806269,NO,Thyrotoxicosis|Hypothyroidism,DEVICE: Fitbit and Glandy,ALL,ADULT,,"Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, 13620, Korea, Republic of",Seoul National University Bundang Hospital
NCT00230802,Thyroid Hormone Dose Adjustment in Pregnancy,https://clinicaltrials.gov/study/NCT00230802,YES,Pregnancy|Hypothyroidism,DRUG: Anticipatory dose increase of levothyroxine|DRUG: levothyroxine|DRUG: levothyroxine,FEMALE,"CHILD, ADULT, OLDER_ADULT",,"Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States","Principal Investigator : Erik Alexander, MD , Brigham and Women's Hospital"
NCT00498238,The Effect of Levothyroxine on Arterial Stiffness and Lipid Profile in Patients With Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT00498238,NO,Subclinical Hypothyroidism,DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Ronit Koren, MD , Department of Internal Medicine A , Research & Development unit Assaf Harofeh Medical Center, Zerifin, affiliated to Sackler School of Medicine,"
NCT04988802,The Effect of Dietary Supplements for Pregnant Women on Levothyroxine Absorption,https://clinicaltrials.gov/study/NCT04988802,NO,Hypothyroidism Primary,DIETARY_SUPPLEMENT: Prenatal Nutrients Solgar|OTHER: Placebo,FEMALE,"ADULT, OLDER_ADULT",,"Dubrava University Hospital, Zagreb, Grad Zagreb, 10000, Croatia",University Hospital Dubrava
NCT04648722,Higher Levothyroxine Requirements After Right-side Hemithyroidectomy,https://clinicaltrials.gov/study/NCT04648722,NO,Hemithyroidectomy|Hypothyroidism,PROCEDURE: Hemithyroidectomy,ALL,"ADULT, OLDER_ADULT",,"Medical University of Vienna, Vienna, 1090, Austria",
NCT04767763,Thyroid Function in Critically Ill Patients With Acute Kidney Injury,https://clinicaltrials.gov/study/NCT04767763,NO,Secondary Hypothyroidism,"DIAGNOSTIC_TEST: Assessment of TSH, fT3, fT4,TRH, TT3, TT4, rT3 in patients with CVVHDF",ALL,"CHILD, ADULT, OLDER_ADULT",,"Medical University of Gdansk - Departament of Anesthesiology and Intensive Care, Gdańsk, Pomorskie, 80-214, Poland",
NCT01838031,Thyroid Screening Protocol During Pregnancy: a Multi-center Prospective Controlled Study,https://clinicaltrials.gov/study/NCT01838031,NO,Subclinical Hypothyroidism,OTHER: thyroid screening,FEMALE,ADULT,,"Peking Union Medical College Hospital, Beijing, Beijing, 100730, China","Study Director : Liangkun Ma, MD , Peking Union Medical College Hospital"
NCT03094416,Levothyroxine Sodium in Thyroidectomized Patients Taking Proton Pump Inhibitors,https://clinicaltrials.gov/study/NCT03094416,YES,Hypothyroidism;Postablative,DRUG: levothyroxine sodium capsule|DRUG: Proton pump inhibitor (PPI)|DRUG: Levothyroxine Sodium (LT4) Tablets,ALL,"ADULT, OLDER_ADULT",PHASE4,"California Head and Neck Specialists, La Jolla, California, 92037, United States|Coastal Metabolic Research Centre, Ventura, California, 93003, United States|Washington Hospital Center, Washington, District of Columbia, 20010-2975, United States|MedStar Union Memorial Hospital, Baltimore, Maryland, 21218, United States|NYC Health + Hospitals/ Queens, New York, New York, 11432, United States|Diabetes & Endocrinology Consultants, PC, Morehead City, North Carolina, 28557, United States|Carolina Ear Nose and Throat Clinic, Orangeburg, South Carolina, 29118, United States|Virginia Commonwealth University, Richmond, Virginia, 23298, United States|Stonesifer Endocrine Care & Clinical Research Inc., PS, Federal Way, Washington, 98003, United States","Principal Investigator : Kenneth D Burman, MD , Medstar Health Research Institute"
NCT01145040,NOMOTHETICOS: Nonlinear Modelling of Thyroid Hormones' Effect on Thyrotropin Incretion in Confirmed Open-loop Situation,https://clinicaltrials.gov/study/NCT01145040,NO,Hypothyroidism|Hyperthyroidism,,ALL,"CHILD, ADULT, OLDER_ADULT",,"Klinikum Ludwigsburg-Bietigheim, Bietigheim, BW, D-74321, Germany|Institute for diagnostical radiology, interventional radiology and nuclear medicine, Bergmannsheil University Hospitals, Ruhr University of Bochum, Bochum, NRW, D-44789, Germany|Medical Hospital I, Bergmannsheil University Hospitals, Ruhr University of Bochum, Bochum, NRW, D-44789, Germany","Principal Investigator : Johannes W Dietrich, M.D. , Medical Hospital I, Bergmannsheil University Hospitals, Ruhr University of Bochum Study Chair : Harald H Klein, M.D. , Medical Hospital I, Bergmannsheil University Hospitals, Ruhr University of Bochum Study Director : Johannes W Dietrich, M.D. , Medical Hospital I, Bergmannsheil University Hospitals, Ruhr University of Bochum Principal Investigator : Bojana Bazika-Gerasch, M.D. , Medical Hospital I, Bergmannsheil University Hospitals, Ruhr University of Bochum"
NCT01204359,The Prospective Study of Standard Treatment of Graves Disease Iodine 131 and Prevention of Adverse Reactions,https://clinicaltrials.gov/study/NCT01204359,NO,Hypothyroidism|Exophthalmos,RADIATION: Iodine 131,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Sun Yat-sen Memorial Hospital, Guangzhou, Guangdong, 510120, China|Ningyi Jiang, Guangzhou, China","Principal Investigator : SUN YAT-SEN UNIVERSITY ningyi jiang, professor , Sun Yat-sen University"
NCT01379170,Thyroid Study Type 2 Diabetes Mellitus (T2DM),https://clinicaltrials.gov/study/NCT01379170,NO,Diabetes|Hypothyroidism,DRUG: Euthyrox (levothyroxine),ALL,"ADULT, OLDER_ADULT",PHASE4,"Maastricht University Medical Centre, Maastricht, Limburg, 6200MD, Netherlands",Maastricht University Medical Center
NCT06096454,Effect of Life Style Modification and Metformin on Hypothyroidism With Insulin Resistance,https://clinicaltrials.gov/study/NCT06096454,NO,Hypothyroidism|Insulin Resistance,DRUG: Metformin,ALL,"ADULT, OLDER_ADULT",PHASE4,,"Principal Investigator : Mohammad HM AbdEllah-Alawi, MD , Assiut University"
