Disease,NCT Number,Study Title,Study URL,Study Results,Sex,Age,Phases,Conditions 1,Conditions 2,Conditions 3,Conditions 4,Conditions 5,Interventions 1,Interventions 2,Interventions 3,Interventions 4,Interventions 5,Locations_1,Locations_2,Locations_3,Principal Investigators 1,Principal Investigators 2,Principal Investigators 3,,
Vitiligo,NCT02458417,Autologous Cell Suspension Grafting Using ReCell in Vitiligo and Piebaldism Patients,https://clinicaltrials.gov/study/NCT02458417,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Segmental Vitiligo,Piebaldism,,,,DEVICE: ReCell,DEVICE: Full surface CO2 laser 200 mJ,DEVICE: Full surface CO2 laser 150 mJ,"DEVICE: Fractional CO2 laser 7.5 mJ, 20%",,"Netherlands Institute for Pigment disorders, Amsterdam, 1105 AZ, Netherlands",,,Albert Wolkerstorfer,Menno A. De Rie,,,
Vitiligo,NCT03622320,Metabolic Syndrome in Early Onset Versus Late Onset Vitiligo,https://clinicaltrials.gov/study/NCT03622320,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Metabolic Syndrome,Vitiligo,,,,OTHER: Blood sample,,,,,"Cairo university hospitals, dermatology outpatient clinic, Cairo, Egypt",,,Samar El-Tahlawi,,,,
Vitiligo,NCT04734704,Defining the Role of the Skin Microbiome in Immune-related Adverse Events,https://clinicaltrials.gov/study/NCT04734704,NO,ALL,"ADULT, OLDER_ADULT",,Vitiligo,Skin Melanoma,,,,PROCEDURE: skin swabs at lesional and non-lesional sites,PROCEDURE: skin swabs on skin,,,,"Service de Dermatologie - HÃ´pital Saint-AndrÃ©, Bordeaux, 33075, France",,,Julien,,,,
Vitiligo,NCT02506101,"Randomized, Split-body, Single-blinded Clinical Trial of NB-UVB Treatment for Vitiligo",https://clinicaltrials.gov/study/NCT02506101,YES,ALL,"ADULT, OLDER_ADULT",,Vitiligo,Pigmentation,Dyschromia,,,DEVICE: narrow-band ultraviolet B phototherapy,,,,,"Johns Hopkins Dept. of Dermatology, Baltimore, Maryland, 21287, United States",,,Ginette Okoye,,,,
Vitiligo,NCT02660320,"Comparison of the Efficacy of Micro-holes vs. Laser-assisted Dermabrasion, for Repigmenting in Vitiligo Skin",https://clinicaltrials.gov/study/NCT02660320,NO,ALL,"ADULT, OLDER_ADULT",,Vitiligo - Macular Depigmentation,,,,,DEVICE: Dermabrasion,DEVICE: Laser placebo,,,,"CHU de Nice, Nice, Alpes-Maritimes, 06200, France","CH Creteil, Paris, Ile De France, France","CHU de Bordeaux, Bordeaux, 33 000, France",Passeron Thierry,,,,
Vitiligo,NCT03247400,The Evaluation of Vitiligous Lesions Repigmentation After the Administration of Atorvastatin Calcium Salt and Simvastatin-acid Sodium Salt in Patients With Active Vitiligo,https://clinicaltrials.gov/study/NCT03247400,NO,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,Non-segmental Vitiligo,,,,,DRUG: 1% simvastatin-acid sodium salt ointment,DRUG: 1% atorvastatin calcium salt ointment,,,,"Clinic of Dermatology, Sexually Transmitted Diseases and Immunodermatology, Nicolaus Copernicus University, Faculty of Medicine in Bydgoszcz, Bydgoszcz, Cuiavian-Pomeranian, 85094, Poland",,,Rafal Czajkowski,,,,
Vitiligo,NCT01640678,Autologous Cell Suspension Grafting Using ReCell in Vitiligo and Piebaldism Patients,https://clinicaltrials.gov/study/NCT01640678,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Piebaldism,Segmental Vitiligo,,,,PROCEDURE: ReCell epidermal cell suspension grafting,PROCEDURE: CO2 laser abrasion + UV-therapy,,,,"The Netherlands Institute for pigment disorders, AMC, Amsterdam, 1105 AZ, Netherlands",,,,,,,
Vitiligo,NCT01841008,Maintenance Treatment of Non Segmental Vitiligo With Tacrolimus Ointment 0.1% Versus Control,https://clinicaltrials.gov/study/NCT01841008,NO,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,Pigmentation Disorders,Vitiligo,,,,DRUG: Protopic,DRUG: Placebo : Diprobase,,,,"CHU de Nice - HÃ´pital de l'Archet, Nice, Alpes-Maritimes, 06200, France","CHU de Bordeaux, Bordeaux, Gironde, 33 404, France",,Thierry,,,,
Vitiligo,NCT05554523,How Does Skin Tone Affect Quantitative Photoacoustic Imaging,https://clinicaltrials.gov/study/NCT05554523,NO,ALL,"ADULT, OLDER_ADULT",,Vitiligo,Skin Abnormalities,,,,DEVICE: Photoacoustic imaging,,,,,,,,,,,,
Vitiligo,NCT00484224,Audiological Disturbances in Vitiligo,https://clinicaltrials.gov/study/NCT00484224,NO,ALL,"CHILD, ADULT",,Vitiligo,Hearing Loss,,,,,,,,,"Hadassah Medical Organization, Jerusalem, Israel",,,Arieh Ingber,,,,
Vitiligo,NCT05293119,Role of Tofacitinib in Vitiligo Patients,https://clinicaltrials.gov/study/NCT05293119,NO,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,Vitiligo,Effect of Drug,,,,DRUG: JAK-2 inhibitor,DRUG: Topical corticosteroid,,,,,,,Mohammad Jahid Hasan,,,,
Vitiligo,NCT04872257,Oral Vitamin D Supplementation Combined With Phototherapy as a Treatment for Vitiligo,https://clinicaltrials.gov/study/NCT04872257,NO,ALL,"ADULT, OLDER_ADULT",,Vitiligo,"Vitiligo, Generalized",Autoimmune,Autoimmune Diseases,Autoimmune Disease Skin,DRUG: Oral Vitamin D,PROCEDURE: NB-UVB Phototherapy,DRUG: Placebo,,,"Hospital Universitario ""Dr. Jose Eleuterio Gonzalez"", Monterrey, Nuevo Leon, 64460, Mexico",,,Adrian B Cuellar-Barboza,,,,
Vitiligo,NCT03270241,Early Molecular Changes in Vitiligo After Narrowband Ultraviolet Therapy,https://clinicaltrials.gov/study/NCT03270241,YES,ALL,"ADULT, OLDER_ADULT",,Vitiligo,Dermatology/Skin - Other,,,,DEVICE: Phototherapy (NB-UVB) via the 3 Series PC & SP phototherapy cabinet,,,,,"Johns Hopkins Outpatient Center, Baltimore, Maryland, 21287, United States",,,Noori Kim,,,,
Vitiligo,NCT06370650,Effect of Platelet Rich Plasma on Outcome of Narrow Band UVB in Treatment of Vitiligo; Clinical and Histopathological Study,https://clinicaltrials.gov/study/NCT06370650,NO,ALL,"CHILD, ADULT",,Management of Stable Vitiligo,,,,,"PROCEDURE: platelet rich plasma, narrow band UVB",,,,,"Faculty of Medicine, Sohag University, Sohag, 82515, Egypt",,,,,,,
Vitiligo,NCT05364567,Synergistic Effect of Vitamin D Supplementation in Patients With Vitiligo and Vitamin D Deficiency,https://clinicaltrials.gov/study/NCT05364567,NO,ALL,"ADULT, OLDER_ADULT",,Vitamin D Deficiency,Vitiligo,,,,DRUG: cholecalciferol (vitamin D3),PROCEDURE: Phototherapy,,,,"Kangnam Sacred Heart Hospital, Seoul, Korea, Republic of",,,Bo Young Chung,,,,
Vitiligo,NCT05316987,Effect of NB-UVB on the Tissue Level of IL 15 and IL-15RÎ± in Active Non Segmental Vitiligo Cases.,https://clinicaltrials.gov/study/NCT05316987,NO,ALL,"ADULT, OLDER_ADULT",,Active Non Segmental Vitiligo,,,,,RADIATION: Narrow band ultraviolet B,,,,,"Nourhan Emad, Cairo, Helwan, Egypt",,,Nourhan Emad,,,,
Vitiligo,NCT03185312,Cutaneous JAK in Vitiligo and Acne Vulgaris.,https://clinicaltrials.gov/study/NCT03185312,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Vitiligo and Acne Vulgaris,,,,,DIAGNOSTIC_TEST: skin biopsy,,,,,,,,Amira Abdel Motaleb,,,,
Vitiligo,NCT03715829,A Phase 2b Study To Evaluate The Efficacy And Safety Profile Of PF-06651600 And PF-06700841 In Active Non-segmental Vitiligo Subjects,https://clinicaltrials.gov/study/NCT03715829,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,Active Non-segmental Vitiligo,,,,,DRUG: PF-06651600,DRUG: PF-06651600,DRUG: PF-06651600,DRUG: PF-06651600,DRUG: PF-06651600,"Marvel Research, LLC, Huntington Beach, California, 92647, United States","University of California, Irvine, Dermatology Clinical Research Center, Irvine, California, 92697, United States","Vitiligo and Pigmentation Institute Of Southern California, Los Angeles, California, 90036, United States",Pfizer .gov Call Center,,,,
Vitiligo,NCT05536856,Topical 5-Fluorouracil Effervescent Powder in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT05536856,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,Vitiligo,Topical Fluorouracil,Effervescent Mixture,,,DRUG: a new effervescent mixture 5-florouracil formula,DRUG: 5-Fluorouracil plain powder,,,,"Facualty of Pharmacy, Al Azhar University, Cairo, 11765, Egypt",,,,,,,
Vitiligo,NCT05750823,A Study to Assess the Safety and Efficacy of Ruxolitinib Cream in Participants With Genital Vitiligo,https://clinicaltrials.gov/study/NCT05750823,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Nonsegmental Vitiligo With Genital Involvement,,,,,DRUG: Ruxolitinib Cream,,,,,"Center For Dermatology Clinical Research, Inc, Fremont, California, 94538, United States","Vitiligo & Pigmentation Institute of Southern California, Los Angeles, California, 90036, United States","Hamzavi Dermatology, Fort Gratiot, Michigan, 48059-3526, United States",,,,,
Vitiligo,NCT03365141,Efficacy of Intralesional Triamcinolone Injection in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT03365141,NO,ALL,"ADULT, OLDER_ADULT",,Vitiligo,Treatment,Intralesional Injection,Corticosteroid,,DRUG: Triamcinolone acetonide 0.4mg/cc,DEVICE: Phototherapy (NBUVB or excimer laser),DRUG: Topical tacrolimus,,,"St. Vincent's Hospital, Suwon, Gyonggi-do, 16247, Korea, Republic of",,,,,,,
Vitiligo,NCT02038257,Comparative Study Using Dermabrasion vs CO2 Laser & Collagen Dressing vs Vaseline Gauze in MKTP,https://clinicaltrials.gov/study/NCT02038257,NO,ALL,"ADULT, OLDER_ADULT",,Vitiligo,Depigmented Scars,Depigmentation,,,PROCEDURE: MKTP (melanocyte keratinocyte transplant procedure),DEVICE: Collagen Dressing,DEVICE: Vaseline Impregnated Gauze,DEVICE: Carbon Dioxide Laser,DEVICE: Dermabrasion,"Henry Ford Dermatology, Detroit, Michigan, 48202, United States",,,Iltefat H Hamzavi,,,,
Hypothyroidism,NCT04953195,Thyroid Replacement Therapy in Patients With Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT04953195,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Subclinical Hypothyroidisms,,,,,DRUG: Levothyroxine Sodium Tablets,,,,,"Beijing Chao-Yang Hospital, Capital Medical University, Beijing, Beijing, China",,,,,,,
Hypothyroidism,NCT06083636,Improvement of Laboratory Diagnostics in Hypothyroid Patients Using Levothyroxine,https://clinicaltrials.gov/study/NCT06083636,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: Single extra blood draw and completion of single questionnaire,OTHER: Single blood draw and completion of single questionnaire,,,,"Amsterdam UMC, Amsterdam, Noord-Holland, 1105 AZ, Netherlands",,,Annemieke C Heijboer,,,,
Hypothyroidism,NCT05143918,Quality of Life Among Egyptian Hypothyroid Patients,https://clinicaltrials.gov/study/NCT05143918,NO,ALL,ADULT,,Hypothyroidism,,,,,OTHER: assessment of quality of life using questionnaire,,,,,,,,Nabawia M Tawfik,Ghada Abd El Rahman,Doaa M Osman,,
Hypothyroidism,NCT04795947,Correlation Between Thyroid Function and Quality of Life in Hypothyroidism,https://clinicaltrials.gov/study/NCT04795947,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,BEHAVIORAL: Behavioral,,,,,"BeijingCYH, Beijing, Beijing, 100020, China",,,Guang Wang,,,,
Hypothyroidism,NCT06345339,A Study to Assess the Safety and Efficacy of Oral Armour Thyroid Compared to Synthetic T4 for the Treatment of Primary Hypothyroidism in Adult Participants,https://clinicaltrials.gov/study/NCT06345339,NO,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,Hypothyroidism,,,,,DRUG: Armour Thyroid,DRUG: Levothyroxine,,,,"Central Research Associates /ID# 255719, Birmingham, Alabama, 35205, United States","John Muir Medical Center /ID# 257103, Concord, California, 94520, United States","Diagnamics Inc. /ID# 262680, Encinitas, California, 92024, United States",,,,,
Hypothyroidism,NCT05334771,Early Detection of Endolymphatic Hydrops in Hypothyroid Patients,https://clinicaltrials.gov/study/NCT05334771,NO,ALL,ADULT,,Hypothyroidism,,,,,DEVICE: Dual band pure tune audiometer,,,,,,,,Enas Mostafa Osman,mohamed salama bakr,,,
Hypothyroidism,NCT05015725,"The Relationship Between Serum rT3 Concentrations, T3/T4 Ratio, and Symptoms/Quality of Life in Treated Hypothyroid Patients",https://clinicaltrials.gov/study/NCT05015725,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,"DIAGNOSTIC_TEST: Quality of life assessment, biochemical measures",,,,,"Semmelweis University - Departement Medicine and Oncology, Budapest, 1083, Hungary",,,,,,,
Hypothyroidism,NCT05823012,Study of XP-8121 For the Treatment of Adult Subjects With Hypothyroidism,https://clinicaltrials.gov/study/NCT05823012,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Hypothyroidism,,,,,DRUG: levothyroxine sodium,,,,,"ProSciento, Inc., Chula Vista, California, 91911, United States","Catalina Research Institute, L.L.C., Montclair, California, 91763, United States","Panax Clinical Research, LLC, Miami Lakes, Florida, 33014, United States",Valentina Conoscenti,,,,
Hypothyroidism,NCT04878614,Comparison of Levothyroxine Formulation in Hypothyroid Patients With Enteral Feeding,https://clinicaltrials.gov/study/NCT04878614,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Hypothyroidism,,,,,DRUG: Levothyroxine Tablet,DRUG: Levothyroxine Sodium,,,,"UCLA Center for Human Nutrition, Los Angeles, California, 90024, United States",,,Vijiya Surampudi,,,,
Hypothyroidism,NCT04236232,The Impact of Subclinical Hypothyroidism on Cardiovascular System,https://clinicaltrials.gov/study/NCT04236232,NO,ALL,ADULT,,Hypothyroidism,,,,,DIAGNOSTIC_TEST: Thyroid function,,,,,,,,,,,,
Hypothyroidism,NCT04332770,Biosignals by Wearable Devices in Hypothyroidism,https://clinicaltrials.gov/study/NCT04332770,NO,ALL,ADULT,,Hypothyroidism,,,,,OTHER: levothyroxine withdrawal,,,,,"Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, 13620, Korea, Republic of",,,,,,,
Hypothyroidism,NCT03631771,Pediatric Risk of Hypothyroidism With Iodinated Contrast Media,https://clinicaltrials.gov/study/NCT03631771,NO,ALL,CHILD,PHASE4,Hypothyroidism,,,,,DRUG: Iohexol,DRUG: Iodixanol,DRUG: Iopromide,DRUG: Ioversol,,,,,Paul F. Sherwin,Zuzana Jirakova Trnkova,Philippe Bourrinet,,
Hypothyroidism,NCT02024906,Effect of Soy Intake on Cardiovascular Disease Biomarkers in Subclinical Hypothyroid Participants,https://clinicaltrials.gov/study/NCT02024906,NO,ALL,"ADULT, OLDER_ADULT",,Cardiovascular Disease,Subclinical Hypothyroid,,,,DIETARY_SUPPLEMENT: soy protein isolate (SPI),DIETARY_SUPPLEMENT: milk protein isolate (MPI),,,,"University of Kansas Medical Center, Kansas City, Kansas, 66160, United States",,,Jill Hamilton-Reeves,,,,
Hypothyroidism,NCT03342001,Hypothyroidism Treated With Calcitonin,https://clinicaltrials.gov/study/NCT03342001,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,Hypothyroidism,,,,,DRUG: Calcitonin,,,,,"University of Maryland Center for Diabetes and Endocrinology, Baltimore, Maryland, 21201, United States",,,Kashif Munir,,,,
Hypothyroidism,NCT02959827,Iodinated Contrast Agents and Risk of Hypothyroidism in Young Children in the United States,https://clinicaltrials.gov/study/NCT02959827,YES,ALL,CHILD,,Hypothyroidism,,,,,DRUG: Iodinated contrast agents,,,,,"Oakland, Oakland, California, 94612, United States",,,,,,,
Hypothyroidism,NCT05314790,"Management of Patients With Diagnosis of Hypothyroidism, as Hospitalized and as Outpatients, in Internal Medicine Units: Observational Study Before & After Educational Programme",https://clinicaltrials.gov/study/NCT05314790,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: intervening Educational Program,,,,,"ULSS1 Belluno San Martino, Belluno, Italy","Ospedale Versilia, Camaiore, Italy","Ospedale di CanicattÃ¬, CanicattÃ¬, Italy",,,,,
Hypothyroidism,NCT03180892,Non-immune Related Hypothyroidism in Iodine Sufficient Area,https://clinicaltrials.gov/study/NCT03180892,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: The investigators did not apply any intervention for the participants.,,,,,,,,,,,,
Hypothyroidism,NCT05712421,A Study Evaluation the Safety and Efficacy of Hormone Replacement Therapy With North Star Compared to Levothyroxine in Patients With Primary Hypothyroidism,https://clinicaltrials.gov/study/NCT05712421,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Hypothyroidism,,,,,DRUG: North Star,DRUG: Levothyroxine,,,,"Neuvosyn Investigational Site, Birmingham, Alabama, 35209, United States","Neuvosyn Investigational Site, Canoga Park, California, 91304, United States","Neuvosyn Investigational Site, Greenbrae, California, 94904, United States",,,,,
Hypothyroidism,NCT05412979,A Study Evaluating the Safety and Efficacy of Hormone Replacement Therapy With ST-1891 Compared to Levothyroxine in Patients With Primary Hypothyroidism,https://clinicaltrials.gov/study/NCT05412979,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Hypothyroidism,,,,,DRUG: ST-1891,DRUG: Levothyroxine,,,,"Sention Investigational Site, Greenbrae, California, 94904, United States","Sention Investigational Site, Newhall, California, 91321, United States","Sention Investigational Site, Denver, Colorado, 80246, United States",,,,,
Hypothyroidism,NCT03257566,Hypothyroidism in Patients With Type 1 Diabetes,https://clinicaltrials.gov/study/NCT03257566,NO,ALL,CHILD,,Hypothyroidism,,,,,,,,,,,,,,,,,
Hypothyroidism,NCT02993562,"Hypothyroidism, Metabolism and Food Intake",https://clinicaltrials.gov/study/NCT02993562,NO,FEMALE,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,DRUG: Levothyroxine,,,,,"Center for Diabetes Research, Herlev and Gentofte Hospitals, Copenhagen, Region Hovedstaden, 2900, Denmark",,,Bjarke B Medici,,,,
Hypothyroidism,NCT02577367,Mean Percentage of Levothyroxine Dosage Increase in Patients With Hypothyroidism Started on Enteral Feeding,https://clinicaltrials.gov/study/NCT02577367,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Hypothyroidism,,,,,DRUG: Levothyroxine,,,,,"Maimonides Medical Center, Brooklyn, New York, 11219, United States",,,,,,,
Hypothyroidism,NCT00565864,Neurocognitive and Metabolic Effects of Mild Hypothyroidism,https://clinicaltrials.gov/study/NCT00565864,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,Hypothyroidism,,,,,DRUG: L-thyroxine (L-T4),,,,,"Oregon Health and Science University, Portland, Oregon, 97201, United States",,,Mary Samuels,,,,
Hypothyroidism,NCT03095963,Interaction Between Levothyroxine and Probiotics in Hypothyroid Patients,https://clinicaltrials.gov/study/NCT03095963,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: a mixture of highly charged Lactobacilli and Bifidobacteria (VSL#3Â®),DRUG: levothyroxin,,,,,,,,,,,
Hypothyroidism,NCT00818896,Maternal Hypothyroidism in Pregnancy,https://clinicaltrials.gov/study/NCT00818896,NO,FEMALE,"CHILD, ADULT",,Hypothyroidism,,,,,,,,,,"Women & Infants Hospital, Providence, Rhode Island, 02905, United States",,,James E. Haddow,,,,
Hypothyroidism,NCT02766283,Observational Study on Hypothyroidism in Young Children Following Iodine Contrast Exposure,https://clinicaltrials.gov/study/NCT02766283,YES,ALL,CHILD,,Hypothyroidism,,,,,DRUG: iodinated contrast agents,,,,,"Multiple Locations, Israel",,,Bayer Study Director,,,,
Hypothyroidism,NCT06205303,Interventional Study to Improve Medication Adherence Using Patient Decision Aid,https://clinicaltrials.gov/study/NCT06205303,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: Patient Decision Aid (Video),,,,,"SingHealth Polyclinics, Singapore, Singapore",,,Kalaipriya Gunasekaran,,,,
Hypothyroidism,NCT00524238,Metabolic Changes in Hypothyroid Patients,https://clinicaltrials.gov/study/NCT00524238,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,DRUG: L-thyroxine,,,,,"Aarhus University Hospital, Aarhus, 8000, Denmark",,,,,,,
Hypothyroidism,NCT02917863,Randomized Crossover Trial for the Evaluation of the Possible Effects in the Intestine of Two Different Pharmaceutical Forms of L - Thyroxine in Patients With Primary Acquired Hypothyroidism,https://clinicaltrials.gov/study/NCT02917863,NO,ALL,"CHILD, ADULT",PHASE4,Hypothyroidism,,,,,"DRUG: L-Thyroxine (tablet, per os)","DRUG: L-Thyroxine (oral drops, solution)",,,,"Meyer Children's Hospital, Florence, Italy",,,,,,,
Hypothyroidism,NCT02364102,Effect of Hypothyroidism on Brown Adipose Tissue,https://clinicaltrials.gov/study/NCT02364102,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,,,,,,"University Hospital Basel, Department of Endocrinology, Basel, BS, 4031, Switzerland",,,Mirjam Christ-Crain,,,,
Hypothyroidism,NCT02891668,"Hypothyroidism, Metabolism and Quality of Life - Focus on QOL, REE, Cognitive Function and Body Composition",https://clinicaltrials.gov/study/NCT02891668,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,DRUG: Levothyroxine treatment,,,,,"Department of internal Medicine, Herlev Hospital, Herlev, Region Hovedstaden, DK-2730, Denmark",,,Bjarke Medici,,,,
Hypothyroidism,NCT01197183,"Observational Study With Prospective and/or Retrospective Follow-up, Without Modifying Patient Treatment and Follow-up Practices for the Initial Treatment of Hypothyroidism in France",https://clinicaltrials.gov/study/NCT01197183,NO,ALL,ADULT,,Hypothyroidism,,,,,,,,,,"Merck Lipha SantÃ© Laboratories, Saint Romain, Lyon, 69008, France",,,Dr. Frederic Landron,,,,
Hypothyroidism,NCT02567877,Is Levothyroxine Alone Adequate Thyroid Hormone Replacement?,https://clinicaltrials.gov/study/NCT02567877,NO,ALL,"ADULT, OLDER_ADULT",,Postsurgical Hypothyroidism,Hypothyroidism,,,,PROCEDURE: thyroidectomy,DRUG: levothyroxine in thyroidectomy patients,,,,"University of Colorado Anschutz Medical Campus, Aurora, Colorado, 80045, United States",,,Bryan R Haugen,,,,
Hypothyroidism,NCT02467244,"Effect of Levothyroxine on Serum Adiponectin, Insulin Resistance and Cardiovascular Risk in Patients With Hypothyroidism",https://clinicaltrials.gov/study/NCT02467244,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,DRUG: Levothyroxine,,,,,"AIIMS, Bhubaneswar, Bhubaneshwar, Odisha, 751019, India",,,,,,,
Hypothyroidism,NCT00206375,Growth Hormone and GnRH Agonist in Adolescents With Acquired Hypothyroidism,https://clinicaltrials.gov/study/NCT00206375,YES,ALL,CHILD,PHASE4,Hypothyroidism,,,,,DRUG: Growth hormone,DRUG: Growth hormone treatment and puberty,,,,"Baylor college of Medicine, Houston, Texas, 77030, United States",,,Parvin Yazdani,,,,
Hypothyroidism,NCT01769157,Effects of L-carnitine on Hypothyroidism,https://clinicaltrials.gov/study/NCT01769157,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Hypothyroidism,,,,,DRUG: L-carnitine,DRUG: Placebo,,,,"Korea University Anam Hospital, Seoul, Korea, Republic of",,,,,,,
Hypothyroidism,NCT01800617,A Study of T3 Therapy in Patients With Hypothyroidism,https://clinicaltrials.gov/study/NCT01800617,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Hypothyroidism,,,,,"DRUG: Liothyronine, Sodium",,,,,"Georgetown University Hospital, Washington, District of Columbia, 20007, United States",,,,,,,
Hypothyroidism,NCT00403390,Generic vs. Name-Brand Levothyroxine,https://clinicaltrials.gov/study/NCT00403390,YES,ALL,"CHILD, ADULT",,Congenital Hypothyroidism,Hypothyroidism,,,,DRUG: Brand Name Levothyroxine (Synthroid),DRUG: Generic formulation of Levothyroxine,,,,"Children's Hospital Boston, Boston, Massachusetts, 02115, United States",,,Rosalind S Brown,,,,
Hypothyroidism,NCT02094079,Monitoring and Evaluation of the Levothyroxin Replacement Therapy in Pregnant Women With Hypothyroidism,https://clinicaltrials.gov/study/NCT02094079,NO,FEMALE,ADULT,,Hypothyroidism,,,,,OTHER: biomedical outcomes,,,,,"Endocrine Unit O, Herlev Hospital, University of Copenhagen, Herlev, dk 2730, Denmark",,,Birte Nygaard,,,,
Hypothyroidism,NCT05821881,REduction of LEvothyroxine in Adults; a SElf Controlled Study,https://clinicaltrials.gov/study/NCT05821881,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: Discontinuation of levothyroxine treatment,,,,,"Leiden University Medical Center, Leiden, 2300 RC, Netherlands",,,Jacobijn Gussekloo,,,,
Hypothyroidism,NCT03926585,Variations in the DIO2 and MCT10 Genes and Effect of Triiodothyronine Treatment,https://clinicaltrials.gov/study/NCT03926585,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,,,,,,"Herlev Hospital, Herlev, 2730, Denmark",,,,,,,
Hypothyroidism,NCT06073665,Dosing of LT4 in Older Individuals,https://clinicaltrials.gov/study/NCT06073665,NO,ALL,OLDER_ADULT,PHASE4,Hypothyroidism,,,,,DRUG: Levothyroxine Sodium,,,,,"Penn Medicine, Smilow Translational Research Center, Philadelphia, Pennsylvania, 19104, United States",,,Anne R. Cappola,,,,
Hypothyroidism,NCT00770016,Insulin Sensitivity and Metabolism Before and After Treatment in Patients With Hypothyroidism,https://clinicaltrials.gov/study/NCT00770016,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,DRUG: Levothyroxin,,,,,"Medical department M (Endocrinology and Diabetes), Aarhus University Hospital, Aarhus Sygehus,, Aarhus, 8000, Denmark",,,,,,,
Hypothyroidism,NCT03779906,Thyroid Function of Pediatric Subjects Following IsovueÂ® Administration,https://clinicaltrials.gov/study/NCT03779906,NO,ALL,CHILD,PHASE4,Hypothyroidism,,,,,DRUG: Isovue,,,,,"Children's Hospital and Medical Center, Omaha, Nebraska, 68114, United States",,,,,,,
Hypothyroidism,NCT05421468,Timing of Thyroxine Dose In Ramadan,https://clinicaltrials.gov/study/NCT05421468,NO,ALL,"ADULT, OLDER_ADULT",,Hypothyroidism,,,,,OTHER: L-Thyroxine time B (5-15 minutes Before dawn),,,,,"Reem Alamoudi, Jeddah, 21423, Saudi Arabia","KingAbullahIMRC, Jeddah, Saudi Arabia",,,,,,
Hypothyroidism,NCT00715572,Combined Therapy With L-Thyroxine and L-Triiodothyronine Compared to L-Thyroxine Alone,https://clinicaltrials.gov/study/NCT00715572,NO,FEMALE,ADULT,,Hypothyroidism,,,,,DRUG: thyroxine,DRUG: thyroxine and triiodothyronine,,,,,,,Valentin V Fadeyev,,,,
Hypothyroidism,NCT05033496,The Yield of Postnatal Thyroid Function Test in the Well Baby Nursery,https://clinicaltrials.gov/study/NCT05033496,NO,ALL,CHILD,,Hypothyroidism,,,,,DIAGNOSTIC_TEST: Thyroid function test,,,,,"Hillel Yaffe medical center, HÌ±adera, Hadera, 38100, Israel",,,Erez Nadir,,,,
Hypothyroidism,NCT04877665,Establishing RIs for TSH in Children Under the Age of Two Years,https://clinicaltrials.gov/study/NCT04877665,NO,ALL,CHILD,,Hypothyroidism,,,,,,,,,,"The Aga Khan University, Karachi, Sindh, 3500, Pakistan",,,Siraj Muneer,,,,
